Customer_ID,Age,Channel,Prior_Policy,Vintage_Months,Quarter,Premium_Band,Payment_Plan,Dependents,Lapsed_1yr
EU100105,66,Online,0,7,Q2,Low,Quarterly,5,0
EU100106,63,Agent,1,7,Q4,High,Monthly,0,0
EU100107,65,Online,1,32,Q2,Moderate,Quarterly,5,0
EU100108,52,Agent,0,32,Q1,Low,Monthly,4,0
EU100109,31,Agent,1,22,Q2,Low,Quarterly,4,0
EU100110,33,Agent,1,49,Q4,Low,Quarterly,3,0
EU100111,32,Agent,0,25,Q1,Moderate,Quarterly,0,0
EU100112,36,Online,1,6,Q3,High,Quarterly,0,0
EU100113,58,Agent,0,51,Q4,High,Quarterly,4,0
EU100114,57,Agent,1,27,Q1,High,Monthly,1,0
EU100115,47,Agent,0,18,Q2,Low,Monthly,1,0
EU100116,48,Agent,0,12,Q4,Moderate,Monthly,2,0
EU100117,61,Agent,0,28,Q1,High,Monthly,3,0
EU100118,59,Online,0,19,Q1,Low,Monthly,5,0
EU100119,68,Online,0,43,Q4,Moderate,Annual,5,0
EU100120,64,Agent,1,17,Q1,Low,Monthly,3,1
EU100121,46,Agent,0,35,Q1,Low,Monthly,2,0
EU100122,51,Agent,1,15,Q2,Low,Quarterly,2,0
EU100123,59,Online,1,5,Q3,Moderate,Quarterly,2,0
EU100124,25,Agent,1,36,Q3,Moderate,Monthly,0,0
EU100125,59,Agent,0,58,Q4,Low,Quarterly,2,0
EU100126,61,Online,0,33,Q4,Moderate,Monthly,0,0
EU100127,38,Agent,1,21,Q1,Low,Quarterly,0,0
EU100128,27,Agent,1,35,Q3,Low,Monthly,4,0
EU100129,25,Online,0,42,Q2,Moderate,Quarterly,3,0
EU100130,29,Agent,0,27,Q2,Low,Annual,5,0
EU100131,50,Agent,0,45,Q3,Low,Monthly,1,0
EU100132,38,Agent,0,30,Q4,High,Monthly,0,1
EU100133,63,Agent,0,39,Q3,Moderate,Monthly,3,0
EU100134,51,Agent,1,46,Q4,Low,Annual,3,0
EU100135,33,Online,1,58,Q2,High,Monthly,3,0
EU100136,39,Agent,1,30,Q1,Low,Quarterly,2,0
EU100137,39,Online,0,59,Q1,Low,Monthly,0,1
EU100138,50,Agent,1,45,Q2,Moderate,Annual,2,0
EU100139,66,Agent,0,56,Q3,High,Monthly,5,0
EU100140,37,Agent,0,21,Q3,Moderate,Quarterly,5,0
EU100141,56,Agent,1,26,Q3,Moderate,Quarterly,2,0
EU100142,63,Agent,1,24,Q3,Low,Monthly,4,0
EU100143,56,Agent,1,54,Q3,Low,Annual,2,0
EU100144,28,Agent,1,22,Q4,Moderate,Quarterly,3,0
EU100145,54,Agent,0,37,Q3,Low,Monthly,1,0
EU100146,61,Online,0,43,Q3,Low,Quarterly,2,0
EU100147,47,Agent,1,26,Q3,High,Monthly,3,0
EU100148,63,Agent,1,22,Q1,Low,Quarterly,2,0
EU100149,69,Agent,0,46,Q1,Low,Monthly,2,0
EU100150,39,Agent,0,33,Q3,Low,Annual,5,0
EU100151,67,Online,1,24,Q3,Moderate,Monthly,2,0
EU100152,53,Agent,1,5,Q4,Moderate,Monthly,5,0
EU100153,60,Agent,0,24,Q1,Low,Annual,2,0
EU100154,37,Agent,1,35,Q2,High,Quarterly,1,0
EU100155,56,Online,1,58,Q1,Low,Monthly,1,0
EU100156,31,Agent,0,22,Q3,Moderate,Monthly,4,0
EU100157,46,Agent,0,33,Q1,Low,Monthly,2,0
EU100158,52,Agent,1,17,Q3,Low,Monthly,3,0
EU100159,26,Agent,0,52,Q1,High,Annual,0,0
EU100160,66,Agent,1,12,Q1,Moderate,Monthly,4,0
EU100161,69,Online,1,30,Q1,Moderate,Annual,3,0
EU100162,30,Online,0,26,Q3,Low,Quarterly,4,1
EU100163,52,Agent,1,13,Q2,Low,Monthly,0,1
EU100164,52,Agent,1,6,Q3,Low,Quarterly,0,0
EU100165,68,Agent,0,3,Q2,Moderate,Monthly,0,0
EU100166,68,Agent,1,11,Q2,Low,Monthly,3,0
EU100167,44,Agent,1,43,Q2,Moderate,Monthly,4,0
EU100168,54,Agent,1,60,Q2,Moderate,Annual,5,0
EU100169,35,Online,0,60,Q2,High,Quarterly,0,0
EU100170,52,Agent,1,53,Q4,Low,Monthly,3,0
EU100171,49,Online,0,10,Q2,High,Quarterly,2,0
EU100172,63,Agent,0,11,Q4,Moderate,Monthly,5,0
EU100173,57,Agent,0,16,Q3,Low,Monthly,5,0
EU100174,25,Agent,1,20,Q3,Moderate,Quarterly,2,0
EU100175,51,Online,0,42,Q4,Low,Quarterly,3,0
EU100176,37,Agent,0,44,Q1,High,Monthly,2,0
EU100177,65,Online,0,19,Q2,Moderate,Monthly,2,0
EU100178,27,Online,1,9,Q4,Moderate,Monthly,0,1
EU100179,63,Online,0,36,Q3,Moderate,Quarterly,4,0
EU100180,30,Online,1,58,Q3,Moderate,Annual,3,0
EU100181,32,Online,0,15,Q3,Moderate,Annual,0,1
EU100182,51,Online,1,23,Q3,Moderate,Monthly,5,0
EU100183,33,Agent,1,21,Q4,High,Monthly,1,0
EU100184,61,Online,0,39,Q1,Moderate,Quarterly,4,0
EU100185,57,Online,0,5,Q3,High,Monthly,1,0
EU100186,66,Agent,0,51,Q1,Low,Monthly,5,0
EU100187,68,Online,1,22,Q2,Moderate,Quarterly,0,0
EU100188,48,Agent,0,57,Q1,Low,Monthly,4,0
EU100189,39,Agent,1,31,Q3,Low,Monthly,4,0
EU100190,56,Agent,0,15,Q4,Low,Quarterly,0,0
EU100191,56,Agent,0,28,Q2,High,Quarterly,4,0
EU100192,48,Online,1,38,Q4,Moderate,Monthly,3,0
EU100193,65,Online,0,52,Q4,Low,Monthly,3,0
EU100194,36,Online,1,15,Q1,Moderate,Monthly,0,1
EU100195,63,Online,1,49,Q1,Moderate,Monthly,4,0
EU100196,26,Agent,0,19,Q1,Moderate,Monthly,0,1
EU100197,27,Agent,1,35,Q3,High,Monthly,4,0
EU100198,61,Agent,0,18,Q2,High,Monthly,4,0
EU100199,41,Online,1,10,Q1,Moderate,Monthly,4,0
EU100200,26,Agent,0,15,Q3,Low,Quarterly,4,1
EU100201,26,Online,1,50,Q4,Moderate,Quarterly,3,0
EU100202,52,Online,0,24,Q2,Low,Monthly,4,1
EU100203,47,Online,1,47,Q4,Moderate,Monthly,4,0
EU100204,61,Agent,1,56,Q1,Low,Monthly,4,0
EU100205,56,Agent,0,51,Q2,Low,Monthly,2,0
EU100206,57,Online,0,20,Q3,Moderate,Annual,3,1
EU100207,25,Online,1,37,Q2,Low,Monthly,5,1
EU100208,43,Agent,0,11,Q2,Low,Quarterly,3,0
EU100209,26,Online,1,9,Q2,High,Annual,0,1
EU100210,68,Online,1,5,Q1,High,Monthly,3,0
EU100211,50,Agent,1,11,Q4,Low,Quarterly,2,0
EU100212,56,Agent,1,54,Q4,Moderate,Quarterly,5,0
EU100213,30,Agent,0,39,Q1,Low,Annual,3,0
EU100214,56,Agent,1,27,Q1,Moderate,Monthly,2,0
EU100215,28,Online,0,2,Q4,Moderate,Quarterly,3,0
EU100216,35,Agent,0,52,Q1,Moderate,Monthly,2,0
EU100217,41,Online,0,54,Q1,Low,Annual,3,0
EU100218,62,Online,1,20,Q1,High,Monthly,0,0
EU100219,48,Agent,0,21,Q1,Low,Monthly,0,0
EU100220,29,Agent,1,51,Q4,Moderate,Monthly,2,0
EU100221,58,Agent,0,50,Q3,Low,Monthly,4,0
EU100222,30,Agent,0,30,Q3,Moderate,Annual,3,0
EU100223,46,Agent,1,48,Q4,Low,Monthly,3,0
EU100224,35,Online,0,1,Q2,Low,Monthly,0,1
EU100225,40,Agent,0,35,Q2,Moderate,Monthly,0,0
EU100226,57,Agent,1,26,Q3,Low,Monthly,5,0
EU100227,33,Agent,0,32,Q4,Low,Monthly,2,0
EU100228,30,Agent,0,9,Q3,Moderate,Monthly,1,1
EU100229,40,Agent,0,49,Q2,High,Annual,4,0
EU100230,53,Online,1,40,Q3,High,Annual,2,0
EU100231,27,Agent,1,21,Q3,High,Monthly,4,0
EU100232,44,Online,0,16,Q3,Low,Quarterly,2,1
EU100233,60,Agent,0,12,Q2,Low,Monthly,3,0
EU100234,43,Online,0,36,Q2,Moderate,Annual,2,0
EU100235,50,Online,0,37,Q4,High,Monthly,4,0
EU100236,27,Agent,1,27,Q1,Low,Monthly,1,0
EU100237,43,Agent,0,7,Q2,Moderate,Quarterly,3,0
EU100238,44,Agent,1,30,Q1,High,Monthly,5,0
EU100239,56,Online,1,24,Q3,Low,Quarterly,4,0
EU100240,31,Online,1,50,Q1,Moderate,Annual,1,0
EU100241,65,Agent,0,54,Q4,Moderate,Quarterly,5,0
EU100242,57,Agent,1,30,Q3,Moderate,Monthly,3,0
EU100243,64,Online,1,20,Q4,Moderate,Monthly,0,1
EU100244,63,Online,0,46,Q1,Low,Annual,4,0
EU100245,42,Online,1,40,Q3,Low,Annual,3,0
EU100246,64,Online,1,45,Q2,Low,Quarterly,5,0
EU100247,25,Agent,0,28,Q1,High,Monthly,1,0
EU100248,35,Online,0,4,Q1,Low,Monthly,3,0
EU100249,52,Online,0,12,Q3,High,Quarterly,0,1
EU100250,49,Online,0,3,Q3,High,Monthly,5,0
EU100251,47,Agent,1,37,Q4,Moderate,Quarterly,3,0
EU100252,55,Agent,1,4,Q2,Low,Quarterly,0,0
EU100253,54,Agent,1,15,Q1,Low,Quarterly,4,0
EU100254,66,Agent,0,28,Q2,Moderate,Annual,3,0
EU100255,59,Agent,1,37,Q2,Low,Annual,2,0
EU100256,31,Online,1,9,Q2,Low,Monthly,1,0
EU100257,40,Agent,1,14,Q3,High,Quarterly,2,0
EU100258,50,Agent,1,59,Q2,Low,Annual,2,0
EU100259,26,Online,0,32,Q4,High,Annual,3,0
EU100260,25,Online,0,48,Q2,Moderate,Quarterly,1,0
EU100261,36,Agent,0,3,Q3,Moderate,Annual,4,0
EU100262,29,Agent,0,47,Q3,Moderate,Annual,1,0
EU100263,61,Online,1,18,Q2,Moderate,Quarterly,5,0
EU100264,56,Online,0,50,Q4,Moderate,Quarterly,0,0
EU100265,33,Agent,0,14,Q1,Moderate,Quarterly,5,1
EU100266,65,Agent,0,25,Q1,Low,Monthly,5,0
EU100267,59,Agent,1,39,Q4,High,Quarterly,3,0
EU100268,43,Online,0,26,Q3,Low,Annual,2,0
EU100269,40,Agent,0,60,Q2,Moderate,Quarterly,4,0
EU100270,27,Agent,0,52,Q1,Low,Quarterly,3,0
EU100271,44,Agent,0,6,Q1,Moderate,Quarterly,4,0
EU100272,48,Online,1,26,Q2,Low,Quarterly,4,0
EU100273,57,Agent,1,48,Q1,Low,Quarterly,0,0
EU100274,48,Agent,0,54,Q1,High,Monthly,1,0
EU100275,35,Online,1,51,Q3,Moderate,Quarterly,3,0
EU100276,32,Agent,0,41,Q1,Moderate,Monthly,4,0
EU100277,60,Agent,1,52,Q1,Low,Monthly,1,0
EU100278,62,Online,1,1,Q3,Moderate,Monthly,5,0
EU100279,64,Agent,1,50,Q1,High,Monthly,5,0
EU100280,44,Online,0,21,Q3,Low,Quarterly,5,1
EU100281,59,Agent,0,14,Q2,Moderate,Monthly,2,0
EU100282,49,Agent,0,46,Q1,Moderate,Annual,0,0
EU100283,59,Online,0,8,Q1,Moderate,Annual,0,1
EU100284,49,Agent,0,55,Q4,Low,Annual,1,0
EU100285,53,Online,0,25,Q4,Low,Monthly,2,1
EU100286,42,Agent,0,49,Q4,Low,Monthly,1,0
EU100287,70,Agent,0,18,Q3,Low,Monthly,0,0
EU100288,42,Online,1,15,Q1,Low,Annual,4,0
EU100289,26,Agent,1,42,Q1,Moderate,Monthly,2,0
EU100290,59,Agent,0,20,Q4,Low,Quarterly,4,0
EU100291,40,Agent,1,16,Q3,High,Annual,4,0
EU100292,65,Agent,1,7,Q4,Moderate,Quarterly,5,0
EU100293,60,Online,0,29,Q1,Moderate,Quarterly,3,0
EU100294,57,Online,0,31,Q3,Low,Monthly,4,0
EU100295,28,Online,0,29,Q4,Low,Quarterly,0,0
EU100296,57,Online,1,17,Q1,High,Quarterly,0,0
EU100297,38,Agent,0,5,Q4,Moderate,Quarterly,2,0
EU100298,45,Agent,1,18,Q2,Low,Annual,3,0
EU100299,44,Online,1,14,Q3,Moderate,Monthly,1,0
EU100300,32,Agent,1,31,Q2,Low,Annual,4,0
EU100301,31,Agent,0,50,Q2,Moderate,Monthly,4,0
EU100302,27,Online,0,18,Q3,High,Quarterly,3,1
EU100303,41,Agent,0,47,Q2,Moderate,Annual,2,0
EU100304,57,Agent,0,25,Q4,High,Quarterly,2,0
EU100305,36,Agent,1,11,Q1,Moderate,Monthly,3,0
EU100306,46,Online,1,26,Q3,Low,Monthly,0,0
EU100307,46,Agent,1,5,Q4,Moderate,Quarterly,5,0
EU100308,70,Agent,0,16,Q1,Moderate,Annual,5,0
EU100309,54,Online,0,8,Q2,High,Quarterly,2,0
EU100310,62,Online,1,13,Q3,Moderate,Monthly,5,0
EU100311,62,Online,1,58,Q2,Low,Annual,2,0
EU100312,69,Agent,0,32,Q1,Low,Monthly,5,0
EU100313,32,Agent,1,54,Q3,Moderate,Quarterly,5,0
EU100314,51,Agent,0,27,Q4,Moderate,Monthly,4,0
EU100315,51,Agent,0,49,Q2,High,Quarterly,0,0
EU100316,58,Agent,1,26,Q4,Low,Monthly,0,0
EU100317,45,Agent,1,9,Q4,High,Quarterly,3,0
EU100318,54,Agent,0,47,Q4,Moderate,Quarterly,2,0
EU100319,57,Online,1,7,Q3,Moderate,Annual,3,0
EU100320,52,Online,1,59,Q2,Moderate,Monthly,4,1
EU100321,57,Agent,1,50,Q4,Low,Monthly,1,0
EU100322,29,Agent,1,46,Q1,Low,Quarterly,3,0
EU100323,43,Agent,0,8,Q3,Low,Monthly,0,1
EU100324,28,Agent,0,2,Q4,Low,Monthly,3,1
EU100325,59,Agent,1,18,Q4,Moderate,Monthly,3,0
EU100326,41,Agent,1,36,Q2,Moderate,Quarterly,0,0
EU100327,68,Online,0,24,Q4,Moderate,Monthly,2,0
EU100328,52,Online,0,55,Q4,High,Monthly,4,0
EU100329,54,Online,1,34,Q4,Moderate,Monthly,2,0
EU100330,53,Online,1,42,Q2,Moderate,Monthly,5,0
EU100331,70,Online,1,38,Q4,Moderate,Annual,0,0
EU100332,30,Online,1,11,Q1,High,Annual,5,0
EU100333,59,Agent,0,59,Q3,Moderate,Monthly,0,0
EU100334,65,Agent,0,52,Q4,Low,Annual,0,0
EU100335,61,Online,0,10,Q2,Moderate,Quarterly,4,1
EU100336,48,Agent,1,29,Q1,Low,Monthly,2,1
EU100337,53,Online,1,49,Q3,Low,Monthly,5,0
EU100338,70,Online,0,56,Q2,Low,Annual,2,0
EU100339,55,Online,0,40,Q2,High,Monthly,2,1
EU100340,59,Agent,0,6,Q3,Moderate,Quarterly,0,1
EU100341,57,Agent,1,48,Q3,Moderate,Annual,1,0
EU100342,45,Online,0,10,Q2,Low,Quarterly,5,1
EU100343,56,Online,0,30,Q1,Low,Quarterly,5,1
EU100344,47,Agent,1,55,Q1,High,Monthly,3,0
EU100345,57,Online,0,28,Q1,Moderate,Quarterly,3,0
EU100346,27,Online,0,29,Q3,Moderate,Monthly,0,1
EU100347,42,Agent,1,51,Q4,Low,Quarterly,0,0
EU100348,49,Online,1,25,Q2,Low,Quarterly,0,0
EU100349,66,Agent,0,36,Q1,Low,Monthly,1,0
EU100350,55,Agent,1,27,Q4,Low,Monthly,4,0
EU100351,27,Agent,1,34,Q3,Low,Annual,4,0
EU100352,64,Online,1,52,Q2,Low,Monthly,0,0
EU100353,70,Online,1,34,Q4,Moderate,Quarterly,0,0
EU100354,48,Agent,1,32,Q2,Moderate,Quarterly,1,0
EU100355,56,Online,1,44,Q3,Moderate,Quarterly,1,0
EU100356,46,Online,0,4,Q3,Low,Monthly,3,0
EU100357,47,Online,1,48,Q1,Low,Annual,1,0
EU100358,26,Agent,0,34,Q2,Moderate,Annual,0,0
EU100359,51,Agent,1,16,Q2,Low,Quarterly,4,0
EU100360,66,Agent,1,60,Q4,Low,Annual,2,0
EU100361,26,Online,0,47,Q2,Moderate,Monthly,1,0
EU100362,50,Agent,0,46,Q2,High,Monthly,2,0
EU100363,41,Online,0,11,Q4,Low,Monthly,0,1
EU100364,64,Online,0,15,Q1,Moderate,Monthly,5,1
EU100365,57,Online,0,56,Q2,Low,Monthly,3,0
EU100366,33,Online,1,38,Q4,Moderate,Quarterly,0,0
EU100367,67,Agent,1,30,Q3,High,Quarterly,1,0
EU100368,63,Online,1,56,Q1,Moderate,Monthly,5,0
EU100369,53,Agent,0,27,Q4,High,Monthly,5,0
EU100370,66,Online,1,16,Q2,Moderate,Monthly,3,0
EU100371,50,Online,1,1,Q1,Moderate,Quarterly,3,0
EU100372,59,Online,0,25,Q1,Moderate,Quarterly,4,0
EU100373,49,Online,0,28,Q1,Moderate,Quarterly,0,1
EU100374,48,Agent,0,43,Q3,Moderate,Quarterly,0,0
EU100375,37,Agent,0,14,Q4,Low,Quarterly,2,1
EU100376,31,Online,1,34,Q1,Low,Quarterly,4,0
EU100377,60,Agent,0,56,Q2,Low,Quarterly,2,0
EU100378,69,Agent,1,48,Q2,Moderate,Quarterly,1,0
EU100379,44,Agent,1,4,Q2,Low,Annual,2,0
EU100380,25,Agent,0,14,Q1,Low,Quarterly,2,0
EU100381,32,Agent,0,16,Q2,Low,Monthly,3,0
EU100382,70,Online,1,15,Q1,Low,Annual,2,0
EU100383,40,Online,1,34,Q4,Moderate,Monthly,3,0
EU100384,38,Agent,0,13,Q1,Low,Monthly,1,0
EU100385,36,Online,1,17,Q1,Low,Monthly,2,0
EU100386,47,Agent,1,28,Q4,Low,Quarterly,4,0
EU100387,39,Agent,0,52,Q2,High,Monthly,1,0
EU100388,52,Online,1,10,Q1,Low,Quarterly,3,0
EU100389,58,Online,0,47,Q4,Moderate,Quarterly,4,0
EU100390,26,Agent,0,17,Q3,Moderate,Quarterly,1,0
EU100391,56,Online,1,8,Q4,Low,Quarterly,0,0
EU100392,47,Online,0,2,Q3,High,Monthly,0,0
EU100393,46,Agent,0,56,Q4,Low,Annual,1,0
EU100394,49,Agent,0,58,Q1,High,Quarterly,1,0
EU100395,46,Online,0,1,Q2,Low,Monthly,2,1
EU100396,46,Agent,0,55,Q1,Low,Monthly,2,0
EU100397,66,Agent,1,55,Q1,Moderate,Quarterly,1,0
EU100398,30,Online,0,5,Q3,High,Quarterly,4,0
EU100399,39,Agent,0,35,Q2,Moderate,Monthly,3,0
EU100400,67,Agent,0,22,Q2,High,Annual,1,0
EU100401,61,Agent,0,43,Q1,Low,Quarterly,0,0
EU100402,57,Online,0,16,Q4,High,Monthly,2,0
EU100403,32,Agent,1,53,Q4,Low,Monthly,2,1
EU100404,68,Agent,1,9,Q2,Low,Annual,0,0
EU100405,68,Agent,1,36,Q1,Low,Monthly,4,0
EU100406,29,Agent,0,9,Q1,High,Monthly,5,0
EU100407,63,Online,1,14,Q3,Moderate,Monthly,1,0
EU100408,28,Online,1,10,Q2,Low,Quarterly,4,0
EU100409,30,Agent,1,22,Q4,Low,Monthly,4,1
EU100410,69,Online,0,16,Q4,Low,Monthly,1,0
EU100411,56,Online,0,41,Q2,Low,Monthly,4,1
EU100412,54,Online,1,3,Q3,Low,Annual,0,1
EU100413,59,Agent,1,28,Q4,Low,Annual,5,0
EU100414,64,Agent,1,30,Q2,High,Annual,5,0
EU100415,40,Online,0,29,Q1,High,Monthly,1,0
EU100416,37,Agent,0,1,Q2,Low,Monthly,2,1
EU100417,66,Agent,1,28,Q2,High,Quarterly,1,0
EU100418,54,Online,0,22,Q2,Moderate,Quarterly,5,0
EU100419,43,Online,1,32,Q1,Moderate,Quarterly,2,0
EU100420,41,Agent,0,52,Q2,Moderate,Monthly,3,0
EU100421,43,Online,1,11,Q1,High,Monthly,1,0
EU100422,52,Agent,0,26,Q4,Low,Annual,2,0
EU100423,50,Online,0,31,Q3,Low,Monthly,4,0
EU100424,61,Agent,0,20,Q1,Moderate,Quarterly,3,0
EU100425,50,Agent,1,20,Q3,Moderate,Quarterly,1,0
EU100426,47,Agent,0,33,Q3,Low,Annual,2,0
EU100427,33,Agent,1,5,Q4,High,Annual,4,0
EU100428,36,Agent,0,41,Q1,Low,Quarterly,2,1
EU100429,25,Agent,1,3,Q4,Low,Annual,1,0
EU100430,25,Online,0,44,Q1,Low,Monthly,0,0
EU100431,58,Agent,0,50,Q3,Moderate,Quarterly,0,0
EU100432,56,Online,1,60,Q3,High,Monthly,1,0
EU100433,49,Agent,1,34,Q2,Moderate,Monthly,4,0
EU100434,64,Online,1,31,Q1,Moderate,Quarterly,3,0
EU100435,69,Agent,0,42,Q3,High,Quarterly,2,0
EU100436,25,Agent,1,7,Q1,Low,Monthly,4,1
EU100437,40,Agent,1,30,Q4,Low,Annual,2,0
EU100438,63,Agent,1,54,Q4,High,Monthly,0,0
EU100439,29,Online,1,18,Q1,Moderate,Quarterly,3,1
EU100440,46,Online,1,16,Q3,Low,Quarterly,1,1
EU100441,53,Agent,0,13,Q4,Moderate,Monthly,1,1
