Cust_Id,Age,MonthlyIncome_EUR,MinBal_EUR,MaxBal_EUR,Age_with_Bank
100162,28,1944,204,5874,3
100163,29,2446,2,4518,3
100165,28,2088,238,5689,1
100166,26,1965,263,2931,2
100167,28,2139,293,5537,0
100168,32,1930,102,6751,1
100169,24,2219,485,4785,5
100173,24,2156,499,3701,0
100174,26,2532,478,8878,2
100175,26,2276,259,1882,1
100176,28,2121,457,4260,1
100177,25,2161,348,5004,2
100178,30,2181,21,4784,3
100179,23,2292,268,3463,1
100180,35,1883,216,6780,0
100181,27,1716,315,5734,5
100184,26,2446,222,3755,0
100185,24,2251,156,5403,5
100186,27,2453,164,2464,6
100187,26,2435,156,5731,2
100188,24,2460,312,4313,0
100191,23,2072,332,7856,3
100192,28,2194,409,5259,2
100193,25,2120,717,5463,1
100195,25,2768,479,4969,1
100196,26,2110,469,3484,3
100198,25,2611,398,4138,6
100199,25,1426,152,6651,6
100201,26,2072,344,3956,1
100202,27,2089,443,3931,1
100203,29,2143,147,8647,0
100204,29,2678,522,5626,3
100207,27,2216,354,3758,1
100208,27,1738,321,3166,1
100209,27,1514,341,4619,0
100210,40,1695,418,3438,0
100211,27,2319,643,3551,0
100212,29,2210,0,4784,0
100213,28,2131,395,1650,1
100214,27,2078,308,521,1
100215,23,2864,269,6799,1
100216,28,1928,0,6049,4
100218,24,2201,278,5064,0
100219,23,2180,154,4150,2
100220,25,2588,307,10080,0
100221,34,2683,249,4857,2
100223,27,2464,315,8316,1
100225,23,2202,204,4112,2
100226,29,2267,346,4530,4
100227,25,1973,319,3758,6
100230,27,2497,440,2235,2
100232,25,1772,644,3055,0
100233,25,1961,224,224,2
100235,33,2037,282,2375,0
100236,27,2212,173,4401,3
100238,25,2853,427,5324,2
100240,28,2375,174,2636,0
100242,24,2080,325,5755,2
100243,27,2039,0,3284,0
100244,28,1941,396,1027,0
100246,23,1603,14,3454,2
100247,23,1779,333,3331,4
100249,32,2153,465,4508,0
100250,26,2033,43,6345,0
100252,28,2585,563,8685,2
100253,33,2201,156,1884,0
100254,29,2378,208,3783,2
100256,23,1996,95,4603,3
100257,30,2317,253,4535,1
100259,26,2672,51,4983,1
100260,28,2392,213,6917,0
100262,24,2662,165,7068,3
100265,23,1852,345,4735,0
100267,31,1610,388,3512,1
100269,23,1969,342,6489,2
100270,25,2115,73,5740,2
100271,30,2105,132,3890,2
100273,29,2472,114,5904,1
100274,25,2112,77,2225,2
100276,26,1755,501,6208,3
100277,25,2538,573,1300,0
100279,25,1841,402,2255,1
100280,23,2270,201,6198,1
100281,25,1947,0,2493,1
100282,27,2026,144,5965,0
100283,31,2285,246,3846,4
100285,33,2963,282,4737,1
100287,24,2404,199,5352,3
100288,27,1559,360,3666,1
100289,26,1916,61,4477,4
100291,24,1885,197,3646,5
100292,23,2337,662,6143,2
100294,28,2314,216,4714,0
100295,26,2125,202,5826,1
100297,28,2567,406,406,2
100298,26,2884,293,5409,1
100299,28,2245,473,5317,1
100300,27,2510,381,2190,1
100303,27,1816,509,7544,1
100304,27,2039,415,3817,1
100305,24,2331,349,3886,1
100306,25,2600,374,8770,3
100307,30,1930,98,6158,0
100309,27,2036,392,3181,0
100310,24,2533,410,8532,0
100311,24,1677,295,3273,1
100312,29,1812,0,3514,1
100313,28,2251,254,5741,0
100314,28,2162,313,4012,3
100315,30,2396,156,5320,0
100316,25,1795,154,5033,0
100317,27,2093,241,4231,2
100318,23,2594,435,6737,3
100319,26,1806,520,2141,0
100320,24,2687,330,4717,3
100321,25,1848,201,3427,1
100322,27,2480,237,7538,1
100324,33,1822,338,8057,1
100327,29,2198,393,6513,3
100328,28,2569,379,2732,1
100329,27,2674,231,7292,4
100330,27,1810,0,4548,3
100331,24,1785,145,5261,0
100333,25,1903,4,4359,2
100335,28,2385,0,4674,0
100336,24,2020,165,779,1
100338,23,2663,612,4241,4
100339,26,2830,305,7363,0
100342,25,2298,391,1653,1
100343,25,2508,210,5056,2
100345,23,2440,237,4376,2
100346,25,2318,426,6266,0
100350,24,2552,173,2608,0
100351,26,1947,332,7287,0
100352,30,2350,459,7315,3
100353,28,2300,334,4470,1
100354,24,2723,0,4457,2
100355,24,2186,433,6670,0
100357,24,2413,175,5622,4
100358,23,2906,335,2789,0
100359,26,2435,285,6626,3
100361,27,1843,193,1924,1
100362,31,1886,131,3055,1
100363,24,2861,245,3395,1
100364,26,2092,471,7234,3
100365,27,1981,410,3211,5
100366,23,2148,315,5212,1
100367,25,2095,532,596,2
100368,25,2717,500,6233,1
100369,25,1865,438,3036,2
100371,25,2240,437,5222,0
100372,26,2598,265,5671,2
100373,30,2722,231,5115,2
100374,28,2228,181,8042,4
100375,33,2096,270,4886,2
100377,28,2169,330,5680,3
100378,25,1653,270,5008,3
100379,33,2712,339,6149,1
100386,25,2050,269,5105,1
100387,26,2361,505,6830,3
100388,32,2030,75,6722,3
100389,28,2380,310,6522,0
100392,26,1681,0,5557,0
100394,32,2399,433,4379,2
100395,29,1975,138,2286,1
100396,23,2598,312,5566,3
100398,30,2417,375,5794,3
100399,24,2693,444,3067,2
100400,29,2438,124,6284,1
100403,25,2864,640,5991,0
100404,25,2027,387,3394,0
100405,23,1857,399,2002,0
100406,27,1826,242,4904,4
100408,24,1869,361,3141,3
100409,25,2752,268,2713,1
100410,27,2271,536,3425,5
100411,27,2521,331,7194,5
100414,30,1768,289,1853,1
100415,26,1900,513,1343,0
100417,31,2372,330,4884,1
100418,25,2399,332,2372,0
100419,29,1709,236,1689,0
100420,25,2200,54,1038,1
100421,33,1861,575,4769,3
100422,32,2332,487,6230,0
100423,24,2358,519,1858,5
100424,28,1813,112,3302,1
100425,27,2519,553,6502,0
100426,30,2972,644,4105,0
100428,27,2146,588,5204,0
100429,29,2096,440,3680,0
100433,23,1824,195,1517,2
100434,27,1576,355,3220,0
100435,31,2272,332,5817,3
100436,25,2207,381,6651,3
100437,31,2012,0,3621,0
100440,24,1873,431,4570,2
100441,26,2154,442,5677,1
100442,24,2782,344,7953,0
100444,24,1748,388,4053,3
100446,27,2250,458,2761,0
100447,26,1746,375,4788,4
100451,24,2349,398,4376,0
100452,28,2287,668,2563,0
100454,27,1981,407,989,1
100457,24,2035,245,4534,3
100461,32,2267,673,5846,0
100462,25,1494,160,4732,2
100464,25,2412,420,3638,0
100465,24,1607,646,8099,0
100466,24,1877,423,5995,0
100467,27,2226,405,4310,0
100468,28,2153,449,4181,0
100471,23,2617,157,4956,1
100474,30,1849,0,4257,0
100475,31,2443,285,4485,2
100476,24,2210,326,4823,1
100477,27,2409,269,4559,1
100478,26,2402,577,5249,1
100479,37,1533,383,4250,0
100480,29,1824,232,6328,1
100481,24,1863,189,5717,1
100484,25,2530,324,3121,0
100489,31,2229,173,3901,4
100490,28,2267,480,3448,5
100491,24,2466,599,5455,4
100492,30,2463,309,2992,2
100493,25,1440,353,2883,1
100495,31,2657,429,1186,2
100496,27,2055,381,3607,3
100498,24,2099,170,1108,0
100501,28,1837,139,139,0
100502,32,2439,450,8009,0
100504,27,2209,310,3260,2
100506,23,2214,0,8572,3
100509,25,2095,277,6756,0
100511,26,2477,66,3571,4
100512,24,2109,334,3378,1
100513,24,2511,356,3408,4
100516,28,2219,247,3542,3
100517,27,2632,371,7003,1
100519,25,1859,456,3392,2
100520,28,1676,409,3663,4
100522,27,2065,198,3415,2
100524,27,1830,92,6724,1
100528,25,2769,398,3430,2
100529,26,2247,484,7646,3
100531,27,2182,435,6746,2
100533,24,1779,289,2144,0
100536,25,1964,514,5039,1
100538,23,2010,426,3769,3
100539,29,2886,348,6358,2
100541,28,2345,267,4702,0
100543,27,2316,425,7649,2
100544,30,2342,192,4749,4
100547,27,2274,198,8823,3
100548,24,2219,269,5099,4
100549,26,2154,45,8296,1
100551,25,2180,283,1662,2
100552,24,2280,310,4553,0
100553,29,2333,154,2804,1
100554,26,2259,251,7331,1
100555,26,2123,321,4812,1
100556,23,2181,193,2059,2
100557,23,2017,262,6133,4
100558,23,2303,543,6945,0
100559,26,2127,0,3754,0
100560,23,2260,332,3673,3
100561,26,2530,163,4873,0
100562,33,1966,534,1150,0
100563,28,2397,268,5813,6
100564,23,2211,117,7629,2
100565,29,2867,262,3296,1
100566,23,2129,361,7910,0
100570,23,2028,528,7456,2
100571,25,2491,36,4762,4
100572,31,2057,302,5226,1
100573,26,1467,215,3509,1
100574,24,2190,188,4278,3
100575,28,1840,270,5796,4
100577,25,2712,485,3569,4
100578,28,2454,532,6629,0
100580,29,2015,259,3612,4
100581,26,2153,345,7743,2
100582,23,1855,441,8410,1
100583,27,1974,475,6377,0
100584,34,1894,365,2290,0
100585,25,1769,567,5253,4
100586,25,2651,192,5589,1
100587,23,1510,499,1568,0
100589,28,2611,193,4887,2
100591,25,1832,353,3935,1
100592,23,1678,275,5396,5
100593,26,2019,273,5484,3
100594,26,2406,33,4849,4
100595,29,2201,179,5409,2
100597,23,2579,200,2311,4
100599,23,2125,486,3358,1
100600,26,2236,282,5963,0
100601,28,1702,679,2578,0
100603,28,2368,482,7074,0
100604,30,2317,264,5375,1
100605,26,2032,184,4193,3
100606,32,2110,346,6396,1
100610,30,1551,345,2995,0
100611,27,2175,283,5029,4
100612,24,2315,292,676,3
100613,26,2012,125,3959,1
100615,34,2051,414,4337,0
100616,25,2042,352,3029,3
100617,25,2202,332,961,0
100618,27,2243,427,3290,0
100619,26,1507,334,3620,4
100620,25,2415,302,6471,4
100622,26,2838,324,2932,6
100623,32,1807,259,2295,4
100624,30,1914,382,6614,0
100625,31,2133,294,4087,1
100628,24,1926,329,1254,2
100629,25,2395,107,2832,2
100630,29,1887,358,7503,2
100632,31,2050,129,3342,2
100633,24,1903,212,4524,3
100634,23,2401,787,3343,2
100637,28,2616,260,2463,3
100638,25,2753,311,9528,0
100641,23,1697,24,2757,0
100642,31,2340,333,1649,1
100643,23,2176,229,4333,2
100645,24,2587,496,3773,3
100646,23,2388,0,3028,3
100648,24,2368,408,1647,2
100649,24,2220,62,5750,1
100650,27,2180,534,5027,0
100651,32,2676,169,4076,3
100652,29,2716,177,3097,3
100653,23,2153,0,4819,0
100655,35,2227,169,5228,1
100656,25,1668,443,4002,2
100657,25,2089,504,2382,1
100658,24,2728,83,6125,2
100659,25,1953,347,4494,0
100660,24,2898,0,3366,1
100663,24,2385,0,7061,2
100666,25,2676,448,6669,0
100667,23,1997,135,3831,4
100668,31,2550,558,8448,6
100670,29,1805,593,4050,2
100671,29,2827,382,3073,0
100673,23,2022,365,7702,1
100674,23,2650,415,4059,3
100678,32,2105,143,6347,3
100679,28,2303,286,4727,0
100680,30,2429,183,2527,3
100681,27,2032,195,2279,0
100684,26,2625,401,7416,0
100686,27,1703,408,7173,2
100687,24,2130,627,3965,0
100688,23,1894,0,3086,0
100689,27,2387,125,3200,2
100690,26,2505,177,3645,2
100691,23,2234,59,3585,2
100692,29,2112,320,6760,3
100694,27,2269,646,5001,0
100695,27,1989,458,1429,2
100696,23,1798,211,5046,4
100697,26,1523,387,3925,2
100699,28,2364,325,6157,0
100700,24,2320,316,4763,0
100702,29,1786,265,4248,1
100706,27,1629,481,4985,0
100708,32,2068,223,1937,2
100710,31,2090,229,3490,2
100711,25,1394,262,5219,2
100712,24,2005,147,1438,1
100714,26,2384,265,3361,3
100715,24,2148,434,5773,5
100716,29,2411,55,4145,4
100717,25,1359,180,2710,0
100718,25,1923,450,2504,0
100719,23,2383,453,3477,3
100720,24,2098,90,1450,2
100721,26,2479,353,7508,1
100724,27,1989,362,2549,0
100725,25,1957,23,2266,0
100726,24,2527,138,5187,0
100727,25,2583,405,1441,3
100728,26,2541,305,4171,5
100731,25,1938,394,2628,0
100733,26,2081,439,2406,2
100735,29,2565,232,4713,5
100736,26,2138,203,3382,0
100737,26,2490,115,2283,2
100738,28,1793,230,3467,2
100739,31,2283,194,5130,0
100740,29,1890,580,3152,6
100744,25,2351,264,3158,2
100745,27,2140,370,4929,0
100747,25,1817,160,4725,4
100754,29,1962,241,5534,5
100756,35,2387,585,5319,3
100757,26,2119,260,4670,0
100758,25,2163,210,1949,1
100760,27,2229,373,5428,0
100762,25,2389,257,6823,0
100763,35,2549,291,5077,2
100764,24,2298,308,4052,0
100765,29,2427,275,4889,2
100767,24,2173,359,5167,1
100768,32,2237,292,5164,0
100770,32,2013,111,5929,2
100771,27,2655,412,8632,3
100773,27,2725,583,744,3
100774,28,1763,94,3710,2
100775,27,1731,433,2133,1
100778,24,1273,203,3171,2
100779,24,2006,0,7987,0
100780,27,2664,428,428,4
100781,25,2524,296,4041,2
100783,26,2057,271,2244,0
100784,27,2387,343,2488,0
100785,27,2509,253,5899,5
100786,29,2024,147,8068,3
100787,28,2123,229,8285,0
100788,26,2013,89,3859,2
100789,24,1761,368,7000,4
100791,26,2102,282,6196,0
100792,25,1784,794,4110,0
100793,26,2413,229,2401,2
100796,29,1947,503,3722,0
100797,24,1545,342,6233,1
100798,27,2354,253,4232,2
100799,25,1981,701,8535,3
100800,25,1906,150,1738,0
100801,28,1785,266,4170,2
100803,25,2721,157,1565,3
100804,23,2033,434,4286,1
100805,23,1840,216,3667,3
100806,23,2415,476,2629,2
100807,25,2257,471,6049,3
100808,23,1501,284,6903,1
100809,30,2419,125,5449,0
100811,24,1342,297,5128,3
100812,23,1792,455,5110,7
100813,30,1260,356,2942,4
100814,25,2175,394,5140,5
100815,29,2527,361,3562,1
100817,26,2659,265,2312,0
100818,28,2474,329,6044,0
100819,25,2762,305,6893,0
100820,29,2583,223,4239,3
100822,30,2222,473,7324,0
100823,34,1913,511,4743,3
100824,23,2124,166,4357,2
100825,23,2220,361,5369,0
100826,30,2172,491,2950,5
100827,31,2643,563,5512,0
100829,23,1892,299,2083,1
100830,23,1913,267,2104,5
100835,24,2297,218,7028,0
100836,25,2175,72,5319,5
100837,31,2188,565,3311,1
100839,28,1917,479,5064,2
100840,24,2136,27,2704,0
100841,24,2290,48,6818,5
100842,27,2513,335,4955,6
100844,26,2646,348,2733,1
100845,25,2730,615,5646,3
100846,26,2462,273,6588,1
100847,26,2604,585,4248,0
100848,34,1873,357,6217,3
100854,29,2666,632,3780,6
100855,30,2116,214,5019,5
100858,26,1846,51,3195,2
100860,27,2197,534,4799,1
100861,25,2191,387,6669,2
100863,31,1925,239,7941,0
100864,32,1960,521,5789,0
100866,23,1665,436,7626,1
100867,26,2313,684,3312,2
100868,26,2495,395,7239,2
100869,27,2463,258,6240,0
100870,33,2113,272,6110,2
100871,24,1932,216,6692,0
100875,24,2776,582,8773,1
100876,32,2191,0,3107,5
100878,25,2068,585,2988,0
100879,24,1685,310,4398,1
100880,29,2418,319,4386,0
100881,35,2165,388,6147,0
100883,23,2808,646,3585,0
100884,29,2071,386,5393,0
100885,27,1428,222,6655,1
100886,32,2359,237,4883,5
100887,27,2255,275,6107,1
100888,23,1958,164,4654,2
100889,27,2331,596,4019,0
100890,29,2459,322,5792,0
100891,28,1888,95,4923,0
100892,27,2101,371,6358,0
100893,29,2687,552,7353,3
100894,29,1962,486,4290,0
100895,30,2222,167,5697,2
100896,27,1334,106,6476,2
100897,24,1711,550,5259,3
100898,25,2252,16,5444,5
100899,29,2605,365,4765,3
100901,26,2225,530,5465,3
100902,23,2076,115,3376,2
100903,25,2515,161,1358,0
100904,30,1798,408,4338,0
100905,25,2342,439,4187,1
100906,25,1984,538,7497,0
100908,27,2223,361,5540,0
100909,27,2117,484,3739,3
100910,33,2358,60,3398,1
100911,23,2214,146,2956,4
100912,25,2156,75,2169,2
100913,25,2082,0,5844,2
100914,31,2226,447,5067,0
100915,24,2273,550,7233,0
100916,26,1874,397,5517,2
100917,27,2085,367,4949,2
100918,25,1852,315,834,0
100919,23,2187,310,8030,3
100920,25,2005,597,4572,2
100921,29,2454,571,645,0
100923,25,1895,494,3000,3
100925,29,2411,414,4993,2
100928,26,1840,41,4286,0
100929,31,2482,25,5240,4
100930,24,2498,437,5548,0
100932,32,2453,57,4897,4
100935,26,2148,366,6061,5
100938,27,2661,231,3031,4
100939,25,1850,319,5291,0
100942,28,2405,198,2015,1
100943,27,2091,352,6223,3
100944,24,1768,0,5726,3
100945,32,2507,300,6126,3
100949,24,2062,320,2008,1
100950,25,2658,225,1988,1
100951,24,2831,202,6603,1
100952,26,2203,366,4043,0
100954,30,2467,624,6541,4
100955,24,2116,0,2614,0
100956,29,2398,410,5636,1
100957,26,2114,285,1813,0
100958,26,2716,291,4967,1
100959,27,1969,353,6475,2
100960,26,2359,475,2392,0
100961,27,2039,346,6033,0
100962,30,2107,475,4916,0
100963,25,2064,308,3659,0
100964,27,2444,119,2279,4
100965,24,2503,284,4947,0
100966,30,2384,502,5414,2
100968,32,2246,111,2685,4
100969,24,2496,408,5911,0
100971,25,1312,165,6264,2
100973,28,2126,268,3295,5
100975,23,2178,413,5260,0
100977,23,1844,422,6327,3
100980,28,1713,595,4626,2
100981,28,3030,150,4824,0
100982,26,2593,86,5748,2
100984,24,1927,345,953,4
100985,24,2142,397,10886,6
100987,31,2345,277,9844,2
100988,28,2695,240,4267,3
100989,24,2043,353,2552,2
100990,25,2386,82,3913,0
100991,25,1774,283,6536,4
100993,24,2324,210,5069,3
100996,23,2055,403,4224,4
100997,32,2682,433,6714,2
100998,27,2583,41,6195,0
101000,27,1462,187,1767,1
101001,30,3029,200,2232,0
101002,28,2193,347,3841,4
101003,25,2097,241,4909,1
101005,27,2324,396,5666,0
101006,26,2328,166,4473,1
101007,28,2514,268,7452,3
101008,27,1894,273,5441,6
101009,29,2097,468,4533,0
101011,30,2274,211,5148,0
101012,25,2143,121,5423,1
101013,33,1889,141,3180,2
101015,31,2540,177,6525,5
101016,25,2489,579,2708,1
101018,23,2319,524,4555,2
101019,23,2752,134,5326,0
101020,26,2553,0,2722,2
101021,27,1941,355,4277,2
101023,24,2298,215,4637,0
101024,33,2464,318,5433,0
101025,31,1841,25,6157,4
101026,26,2197,305,7265,4
101027,25,2113,278,4012,0
101028,25,2234,0,3980,1
101029,27,2020,118,6854,2
101031,23,2249,24,6789,2
101033,26,2503,389,2939,1
101034,27,1783,189,5997,5
101035,23,2624,501,3391,7
101036,31,2527,237,7392,2
101039,25,2036,568,3476,1
101040,29,2228,175,5526,2
101041,31,2172,377,6846,3
101042,23,1985,134,3309,1
101043,29,2017,601,1784,3
101044,24,2079,118,4021,1
101045,24,1814,367,3783,4
101046,28,2424,573,2124,2
101047,27,2183,91,782,2
101049,30,1834,126,7259,1
101050,30,1817,707,3386,1
101052,26,1993,34,5994,0
101053,26,2401,104,6023,0
101054,26,2254,109,7791,4
101057,24,2426,502,5963,3
101058,29,1947,341,3209,3
101059,27,2191,302,4379,2
101060,23,1821,194,6558,0
101061,28,2803,368,2825,2
101063,29,2027,333,2232,1
101065,23,2227,90,3488,0
101068,29,2068,196,9392,4
101069,23,2325,166,6267,0
101070,26,2227,398,6317,4
101071,24,1876,380,2476,0
101072,26,2999,628,4216,1
101073,25,2650,542,2385,5
101075,28,2722,267,3655,0
101076,23,2600,61,4422,1
101078,23,2308,684,4015,1
101079,31,2699,559,6061,2
101080,28,1888,190,1788,2
101081,23,2752,518,5329,3
101082,23,2126,544,3694,4
101083,23,2703,0,4969,5
101084,33,2198,449,6096,2
101085,26,2311,214,1833,2
101086,26,2189,367,7218,0
101087,29,2024,827,4142,3
101088,25,2111,577,7945,4
101089,23,2655,278,4631,3
101090,24,1436,549,6944,0
101091,24,1791,0,4611,1
101092,24,1961,388,4994,2
101093,27,1844,392,4715,0
101094,25,2698,424,4094,6
101095,27,2615,211,4024,2
101096,24,2395,367,4917,3
101097,25,1990,450,5514,3
101099,28,1676,245,5460,0
101100,26,2907,142,1691,3
101101,28,1974,416,6172,6
101103,33,2058,193,1452,0
101104,24,1846,109,7918,3
101105,29,2835,321,7109,3
101107,27,2601,260,6479,1
101110,32,2372,355,3401,2
101111,24,2289,328,3316,0
101112,25,1817,586,4021,0
101113,28,2555,347,3179,5
101114,26,2240,227,227,2
101115,25,1885,248,4161,0
101116,26,1588,166,2707,2
101117,34,2400,122,5050,5
101118,24,3009,57,4056,4
101119,25,1865,498,5674,3
101120,29,2256,174,4524,0
101121,29,2566,355,2157,0
101122,29,1781,248,2158,0
101123,27,2042,295,2204,2
101125,31,2525,331,3200,2
101127,26,2252,201,4845,1
101129,24,2054,385,2880,3
101130,26,1992,461,4432,2
101131,26,1878,258,2642,0
101132,26,2166,56,4650,2
101133,31,2390,389,2948,0
101134,26,2362,344,4252,0
101135,24,2197,349,3447,0
101136,28,2219,58,4708,5
101137,29,2173,188,7165,5
101139,27,2253,370,2500,0
101140,27,2007,376,9146,1
101141,23,1755,292,6684,4
101142,30,2322,469,3231,3
101143,24,1998,561,2897,4
101144,25,2275,362,5130,5
101145,24,2480,417,5803,2
101146,25,1886,205,7769,2
101149,31,2706,147,3561,4
101155,31,2435,329,6719,6
101156,29,2428,477,10152,0
101158,34,2027,479,3986,5
101159,28,2056,364,3890,2
101160,23,2132,351,4821,1
101162,34,2140,45,6742,1
101165,29,2007,401,3185,4
101166,34,1809,297,3693,1
101167,30,2402,490,3632,1
101168,27,2597,349,5414,2
101169,27,2590,212,4857,1
101170,28,1788,157,6021,0
101171,28,2365,194,7252,0
101172,26,2673,328,5053,0
101173,25,2368,235,5597,0
101174,24,2358,112,9044,0
101176,23,2273,327,3594,0
101178,24,2308,156,1418,0
101181,25,2599,0,2852,1
101182,30,2307,436,2900,4
101183,28,2239,177,6615,5
101186,28,2749,261,5214,0
101188,24,2676,564,3791,0
101189,27,2082,32,5417,2
101191,25,2148,453,4789,0
101194,26,2585,366,3693,3
101196,26,1728,200,5581,0
101197,24,1643,156,4939,0
101198,27,2279,234,5913,3
101199,25,2490,146,5933,2
101200,30,2174,511,7900,3
101201,25,2832,170,8489,0
101202,23,1843,389,4195,2
101203,25,1801,476,7572,2
101204,27,1981,146,5312,4
101205,25,1968,366,4172,5
101206,25,2374,144,5623,3
101210,31,1619,328,4649,1
101214,28,2261,78,7713,1
101215,23,2832,256,8448,1
101216,29,2502,235,5422,1
101218,26,2295,315,5146,0
101220,33,2242,473,6278,4
101222,26,2432,342,342,0
101223,27,2044,685,4021,0
101224,26,2361,525,1715,2
101225,24,1892,337,3782,3
101226,24,1856,60,3491,5
101227,25,1832,63,3502,1
101228,24,2208,503,2555,0
101229,28,1811,230,2282,0
101230,33,2060,271,3303,3
101233,24,2034,500,4979,2
101234,35,2224,567,5807,1
101236,31,2035,413,2882,1
101237,31,2460,283,7580,1
101239,27,2576,299,3065,1
101240,31,2173,156,2181,0
101241,23,2031,531,3578,0
101242,24,1975,317,4032,0
101247,25,1974,266,4530,0
101249,25,1734,716,3456,2
101251,26,2423,362,1163,5
101252,28,2008,310,3714,1
101254,26,2206,241,4463,0
101255,29,1685,65,3675,6
101257,31,2221,253,6370,3
101258,26,2348,268,5777,4
101260,24,1866,156,1713,4
101261,27,1839,527,2643,1
101262,25,1984,404,6724,6
101263,27,2016,0,5999,0
101265,25,1958,376,4056,5
101267,24,2744,307,5640,3
101270,29,2521,246,9190,1
101271,29,2475,643,3838,4
101272,27,2089,141,1534,2
101274,23,2061,305,2833,0
101275,29,2128,44,4302,0
101276,25,2223,376,6512,4
101277,34,2435,75,5533,0
101278,26,2340,110,3596,1
101279,25,2147,101,6051,6
101280,23,2218,13,1414,4
101281,25,2343,522,4865,0
101282,24,2420,391,3790,0
101283,27,1699,461,461,0
101284,28,1844,445,2260,2
101288,27,2113,587,3952,2
101291,26,1834,70,6345,0
101292,34,2208,219,5563,0
101293,24,2281,313,3183,2
101294,28,2331,329,5741,0
101295,25,2274,644,6278,3
101296,24,2370,477,7090,0
101297,28,2011,372,3525,1
101298,23,1889,481,3828,2
101299,26,3011,361,6129,4
101300,26,2101,182,6057,1
101302,28,2424,312,3256,3
101303,24,2727,153,3699,3
101305,27,1870,290,2858,5
101307,25,2726,132,1305,5
101308,24,1857,394,2961,3
101309,29,2191,484,4840,2
101310,26,1878,384,2799,2
101311,24,1722,385,3726,3
101312,28,2104,158,4265,0
101313,30,1891,316,8424,2
101314,27,1972,242,2084,1
101315,25,2862,266,4936,5
101318,23,2472,432,2881,1
101320,24,2055,73,7153,0
101321,25,2282,163,6673,0
101322,27,2256,455,3652,5
101323,24,2012,359,4007,0
101324,26,2243,0,5594,2
101325,25,1967,405,4607,4
101328,24,1781,258,7499,2
101330,27,1890,330,7010,1
101331,31,2795,78,4242,6
101332,29,2098,239,2497,3
