custid,debtinc,creddebt,othdebt,preloan,veh,house,selfemp,account,deposit,emp,address,branch,ref,age,gender,ms,child,zone,bad
57,8.98,0.79,1.82,1,2,2,1,1,1,9,1,1,1,2,2,2,2,4,0
58,7.33,2.43,1.44,1,2,2,2,2,1,16,13,1,2,2,2,2,1,5,0
59,6.95,3.92,1.72,1,2,1,1,2,2,18,7,1,1,3,2,2,1,11,0
60,17.16,5.14,7.78,1,1,1,1,1,2,10,20,1,1,3,2,1,1,12,0
61,3.5,1.28,1.88,1,1,1,1,2,1,10,11,1,2,1,2,1,1,8,0
62,11.54,4.29,2.31,2,1,2,1,2,1,13,2,1,2,2,2,1,1,15,1
63,16.87,3.33,3.96,2,2,1,2,2,1,4,1,1,2,2,2,1,1,9,0
64,7.78,4.59,3.01,1,1,1,2,2,2,4,9,1,1,3,1,2,1,3,0
65,11.99,3.47,2.39,1,2,1,1,1,2,5,7,1,2,2,1,1,1,10,0
66,25.42,10.01,11.38,1,2,1,2,1,1,12,7,1,2,1,2,1,1,13,1
67,10.58,1.87,1.58,2,2,2,2,1,1,2,4,2,1,1,2,2,1,12,1
68,10.49,4.21,3.42,2,2,1,1,2,1,20,9,2,2,1,2,1,1,19,0
69,12.82,4.08,2.09,1,2,1,1,1,1,9,4,2,2,2,1,2,1,4,0
70,22.5,2.35,3.26,2,2,1,1,1,1,1,2,1,1,3,1,2,2,17,1
71,24.7,4.2,5.08,2,1,1,1,2,2,3,9,1,1,1,1,2,1,15,0
72,25.18,5.79,6.22,2,2,2,1,1,2,5,10,1,1,3,1,1,1,2,0
73,16.33,5.18,10.24,1,1,1,2,1,2,26,21,1,2,3,1,1,1,19,0
74,12.15,1.54,1.32,2,2,2,1,1,1,1,5,1,1,2,1,1,1,3,0
75,2.78,2.61,2.01,1,1,2,2,1,1,13,10,2,1,2,1,1,1,2,0
76,24.32,6.66,9.91,2,1,2,1,1,2,13,26,2,1,2,2,2,2,11,0
77,4.58,1.93,1.04,2,1,2,2,2,1,2,2,2,1,2,2,2,2,8,0
78,6.83,0.66,1.91,1,1,2,2,1,1,2,10,1,2,3,2,2,2,15,0
79,2.83,1.43,2.75,2,2,1,2,2,1,14,3,1,2,3,1,2,2,4,0
80,8.03,1.44,1.99,2,1,2,1,1,1,16,10,2,1,2,1,2,1,2,0
81,13.38,4.63,1.77,1,2,1,2,2,2,5,3,1,1,1,2,1,1,4,1
82,19.25,3.02,6.57,2,2,2,2,2,2,12,13,1,1,1,2,1,1,8,0
83,21.9,4.65,3.77,1,2,2,1,2,2,7,3,2,1,1,1,1,1,8,0
84,14.36,4.49,2.43,2,1,2,2,1,1,4,17,2,1,1,1,2,1,6,0
85,5.84,1.85,0.83,2,1,1,1,1,2,5,3,2,2,2,1,1,1,2,0
86,21.98,3.73,6.9,1,2,2,2,2,2,10,16,1,1,3,1,2,2,9,0
87,13.24,5.54,1.54,2,2,2,2,1,2,5,5,1,1,1,1,1,1,17,1
88,28.82,3.07,7.65,1,2,1,1,2,1,6,18,1,2,1,2,2,2,4,0
89,4.35,0.96,0.78,1,1,1,2,1,2,13,13,2,2,1,1,1,1,19,0
90,28.25,4.69,3.19,2,1,1,2,1,2,0,2,2,2,2,2,1,1,11,0
91,10.75,1.6,2.79,2,1,1,1,1,1,3,11,2,1,3,1,1,1,9,0
92,14.94,2.9,1.43,1,2,1,1,2,1,2,6,1,1,1,1,1,1,10,1
93,11.18,3.6,5.69,1,1,1,1,1,2,5,6,1,1,3,2,1,1,17,0
94,9.01,2.04,0.99,1,2,2,1,1,2,1,6,1,1,1,1,2,1,4,1
95,27.61,2.26,1.99,1,1,2,1,1,1,2,1,2,1,1,1,2,1,6,0
96,6.63,1.33,2.8,2,2,2,2,2,2,18,6,2,2,3,1,2,1,4,0
97,5.15,2.44,2.55,2,1,1,1,2,1,14,1,1,2,1,2,1,1,15,0
98,12.09,3.64,3.87,1,1,1,1,1,1,14,8,1,1,1,2,1,1,2,0
99,10.27,2.55,1.74,1,2,2,2,2,2,4,10,1,1,3,2,1,1,13,0
100,13.49,1.42,1.74,1,1,2,1,1,2,4,6,1,1,1,1,1,1,20,1
101,3.7,2.63,2.89,2,1,2,1,2,1,22,9,2,1,2,1,2,2,12,0
102,10.33,1.9,3.29,1,1,2,1,1,1,7,10,2,1,3,2,1,1,14,0
103,10.49,3.68,1.84,2,1,1,2,2,1,9,8,1,1,3,1,2,1,9,0
104,5.91,3.4,2.43,1,1,2,1,1,2,21,12,2,2,3,1,1,1,11,0
105,24.12,11.49,8.89,2,1,1,1,2,2,23,17,1,1,3,1,2,1,6,0
106,4.97,2.68,2,2,1,2,2,2,2,8,17,1,1,3,2,2,1,4,0
107,14.56,2.61,3.87,1,2,2,1,1,1,10,19,1,1,3,1,2,2,9,1
108,17.71,2.67,2.73,1,2,2,1,2,2,4,7,1,1,2,1,1,1,5,0
109,9.14,1.96,3.77,2,2,1,1,2,1,12,14,2,1,1,2,1,1,19,0
110,12.25,1.69,4.14,2,1,2,2,1,2,9,14,1,1,3,2,2,1,7,0
111,7.84,1.37,2.25,2,1,2,1,2,2,3,5,1,1,3,1,1,1,17,0
112,11.15,3.08,4.37,1,1,1,1,2,2,7,1,2,1,1,2,2,1,5,0
113,11.59,2.77,2.23,1,1,2,2,2,1,0,2,1,2,1,1,1,1,4,0
114,25.07,4.46,9.4,1,1,1,1,1,2,13,11,2,2,1,1,1,1,1,0
115,11.91,2.23,3.83,1,1,2,1,1,1,16,25,2,1,3,2,2,1,12,0
116,5.96,1.71,2.56,1,1,2,2,2,2,4,7,1,1,3,1,1,1,6,0
117,10.35,2.79,2.03,1,1,2,1,1,2,10,9,1,1,1,1,2,2,16,0
118,4.39,2.45,2.54,1,1,1,2,2,2,16,17,2,2,2,2,1,1,9,0
119,16.26,2.59,4.35,2,2,1,2,2,1,1,5,1,2,1,2,2,1,17,0
120,11.63,2.12,1.99,2,2,2,1,2,2,1,1,2,2,3,1,1,1,2,0
121,10.82,4.18,2.42,1,1,2,1,1,2,13,19,2,1,2,2,1,1,5,0
122,10.88,3.15,1.44,2,1,2,2,1,1,3,0,2,1,3,1,1,1,14,0
123,36.97,2.25,7.81,1,1,1,1,1,2,7,4,2,2,2,1,2,1,14,0
124,14.17,2.02,3.08,2,1,1,2,2,1,2,5,2,1,3,2,2,1,4,0
125,6.01,1.67,2.39,2,1,2,2,1,2,5,10,2,2,3,2,1,1,18,0
126,5.16,1.59,1.56,1,2,1,1,1,2,7,12,1,1,1,1,2,1,1,0
127,14.19,3.29,8.85,1,2,1,1,1,1,8,2,2,1,3,2,2,2,1,0
128,2.94,1.3,0.96,1,2,1,2,2,2,9,3,2,2,1,2,1,1,7,0
129,13.35,1.77,3.51,2,2,2,2,2,1,5,2,1,1,2,1,2,2,15,0
130,9.83,3.05,2.67,1,2,2,1,1,2,20,2,2,1,1,2,2,1,15,0
131,6.15,2.87,0.5,2,1,2,2,1,1,1,7,1,1,2,2,1,1,11,0
132,17.64,1.56,2.49,1,1,2,2,2,2,6,11,1,2,1,1,1,1,16,0
133,21.32,3.12,6.3,2,1,1,1,1,2,18,19,2,1,2,2,2,2,13,0
134,16.86,3.41,6.07,1,2,2,1,2,1,18,21,1,2,3,1,2,2,13,0
135,7.18,1.34,2.39,2,2,2,1,2,2,7,3,1,2,2,2,2,2,6,0
136,6.3,0.71,2.39,2,1,2,1,2,2,6,7,2,2,2,2,1,1,8,0
137,14.97,2.36,4.55,1,2,1,1,2,2,1,1,2,1,3,2,1,1,2,0
138,10.87,2.6,1.15,2,2,2,1,1,2,13,2,1,2,3,1,1,1,3,0
139,7.84,0.7,3.08,1,1,1,1,2,2,9,11,2,2,1,2,2,1,20,0
140,10.75,3.93,1.97,1,1,2,2,2,1,4,4,1,1,3,1,1,1,2,1
141,16.71,1.95,3.41,2,1,2,1,2,1,0,3,2,1,3,2,1,1,4,0
142,19.08,4.36,6.79,1,2,1,1,2,2,9,6,1,1,2,2,2,2,17,1
143,4.56,2.06,4.95,2,2,2,1,2,2,16,22,1,2,1,1,1,1,5,0
144,9.41,2.76,2.58,2,2,1,1,1,2,12,9,2,2,2,1,2,1,11,0
145,8.69,2.76,4.97,1,1,2,1,1,1,17,18,1,2,3,2,1,1,1,0
146,7.56,0.7,2.72,1,2,1,2,1,2,6,3,1,2,3,2,1,1,8,0
147,15.9,3.05,2.97,1,1,2,2,1,1,2,3,2,1,2,2,1,1,19,0
148,11.45,3.02,0.85,2,2,1,2,1,2,3,9,2,2,3,1,1,1,5,0
149,11.88,1.83,2.55,1,2,2,1,1,2,12,1,2,2,2,2,1,1,6,0
150,8.92,2.49,2.97,1,2,1,1,1,2,8,5,2,1,3,1,2,1,2,0
151,18.72,3.17,9.31,1,1,2,1,1,2,15,15,1,2,2,1,2,1,14,0
152,6.89,2.28,4.34,2,2,2,2,1,2,14,24,1,1,1,1,1,1,18,0
153,20.18,1.52,3.74,1,2,1,1,2,2,5,11,1,1,2,2,2,1,16,0
154,7.94,1.62,2.51,1,2,2,1,2,1,9,6,2,2,2,2,1,1,8,0
155,13.76,2.76,4.46,1,2,1,1,2,1,3,5,1,2,3,1,2,1,9,0
156,23.99,4.72,5.17,1,1,1,1,1,1,14,4,1,1,1,2,1,1,4,0
157,14.14,4.64,3.37,1,2,2,1,1,2,13,11,2,2,1,2,1,1,12,0
158,15.96,2.59,3.62,2,1,1,2,2,1,9,3,1,1,1,2,1,1,10,1
159,15.42,2.47,4.5,2,1,1,1,2,2,9,5,2,1,3,1,1,1,7,0
160,4.92,0.65,2.8,1,1,2,1,2,2,9,5,1,1,3,1,2,2,17,0
161,12,3.79,2.05,1,2,1,2,2,1,4,1,1,1,3,2,2,1,5,0
162,10.96,2.92,3.34,1,2,2,2,1,2,6,9,1,1,3,2,2,2,15,0
163,8.77,0.54,1.52,1,1,2,2,2,1,2,1,2,1,1,1,1,1,20,0
164,5.52,0.56,0,1,1,1,1,1,2,9,6,1,2,1,1,1,1,15,0
165,15.68,2.81,3.07,2,2,1,2,2,2,1,8,1,1,3,1,1,1,13,0
166,23.11,7.2,14.41,1,1,2,2,2,2,13,12,1,1,3,1,1,1,19,0
167,17.11,3.58,3.59,1,1,1,2,2,1,5,2,1,1,1,1,1,1,14,1
168,10.55,3.77,3.23,1,1,2,1,1,2,4,9,1,2,3,2,2,1,11,0
169,2.21,2.4,0.91,1,1,1,1,2,2,14,3,1,2,1,1,2,2,18,0
170,8.88,2.17,1.87,2,2,1,2,2,2,16,10,2,2,3,2,2,2,9,0
171,11.86,3.27,2.27,2,2,2,2,2,1,7,9,2,1,1,2,1,1,3,0
172,12.11,2.53,2.89,1,2,2,1,1,1,5,10,2,2,2,2,1,1,4,0
173,7.13,2.55,1.88,2,1,1,2,1,2,1,0,1,2,1,1,2,1,12,0
174,10.49,5.33,4.28,1,1,2,2,2,1,14,8,1,2,1,2,2,2,1,0
175,8.17,2.4,2.54,1,1,1,2,2,1,7,15,1,2,1,2,2,1,12,0
176,11.57,2.4,2.6,2,2,1,2,2,2,7,1,1,1,2,2,1,1,12,0
177,18.7,0.18,2.96,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,0
178,8.38,2.13,2.17,1,1,1,1,2,2,7,3,2,2,2,2,2,2,4,0
179,12.32,2.67,2.21,1,1,2,2,1,1,14,5,1,2,3,1,2,2,2,0
180,26.09,2.17,7,1,2,1,1,1,1,2,14,1,1,2,1,2,2,18,1
181,5.03,0.58,3.66,1,2,2,2,2,1,13,11,2,2,2,1,1,1,1,0
182,6.42,1.89,3.02,2,2,1,2,1,1,9,20,2,1,2,1,2,1,20,0
183,5.08,2.57,3.05,2,2,2,2,1,2,17,21,2,2,2,1,1,1,18,0
184,9.77,2.93,2.7,1,1,1,1,2,1,11,7,2,1,1,2,1,1,13,0
185,26.01,1.73,7.36,1,1,2,2,1,2,1,8,1,1,2,2,1,1,20,0
186,10.69,2.05,1.22,1,2,1,1,1,1,13,10,2,2,1,2,1,1,9,0
187,16.25,3.36,4.96,1,1,1,2,2,2,15,21,1,1,3,1,1,1,16,0
188,18.89,7.24,5.22,1,2,1,2,2,1,12,8,2,2,2,1,2,2,2,0
189,10.74,0.43,2.58,1,1,1,2,1,2,1,5,1,2,3,1,2,2,11,0
190,18.3,5.7,9.72,1,2,1,1,1,2,19,2,2,2,1,1,1,1,9,0
191,15.8,3.82,2.94,1,2,1,2,1,1,4,4,1,1,2,2,2,2,1,1
192,14.56,1.23,2.45,2,1,1,2,1,1,1,8,1,2,1,2,2,2,18,0
193,14.1,2.81,3.46,2,2,2,1,2,2,10,0,1,1,3,1,1,1,4,0
194,3.12,2.65,0.51,1,2,1,1,2,1,2,6,2,1,3,1,2,2,6,1
195,7.78,0.36,4.17,2,1,2,2,1,2,14,2,2,1,1,2,1,1,2,0
196,4.42,0.74,2.58,1,2,1,2,2,2,4,0,1,1,3,1,2,1,2,0
197,6.56,0.63,1.16,2,1,2,1,2,2,1,1,2,1,1,1,2,1,15,0
198,7.17,2.08,1.73,1,1,2,2,2,2,9,11,2,2,2,1,2,2,13,0
199,8.5,0.7,4.03,1,2,1,2,1,1,9,27,1,1,1,1,2,1,7,0
200,23.76,3.81,4.22,2,1,1,1,2,1,6,7,1,2,1,1,2,2,8,0
201,4.18,0.38,2.32,2,1,1,1,2,2,4,8,2,1,3,1,2,1,4,0
202,9.04,3.17,5.6,2,1,1,2,1,1,9,10,2,2,1,1,1,1,2,1
203,10.11,2.67,4.93,1,1,2,1,2,1,4,23,2,2,1,1,2,1,14,0
204,12.94,2.63,4.51,2,1,2,1,2,2,1,17,2,2,1,1,2,1,1,0
205,8.91,2.37,4.79,2,1,1,2,1,1,8,2,1,1,2,2,2,1,17,0
206,8.73,5.29,6.08,1,1,1,1,1,1,18,12,2,1,1,2,1,1,13,0
207,7.31,1.45,1.42,1,1,1,1,1,2,7,7,2,1,3,1,1,1,10,0
208,2.1,1.76,1.92,1,2,1,2,1,2,7,6,2,1,2,1,2,1,9,0
209,7.28,2.99,4.43,2,2,2,1,2,2,14,11,2,1,3,1,1,1,14,0
210,6.37,1.17,1.05,2,1,1,1,1,2,7,0,1,1,1,1,2,2,3,0
211,14.96,1.61,13.71,1,1,2,1,2,1,16,7,2,1,1,2,2,2,1,0
212,11.52,2.78,3.31,2,1,2,2,2,1,5,4,2,2,1,2,1,1,15,0
213,8.75,2.9,2.52,2,2,2,2,1,1,1,11,2,1,2,1,2,1,19,0
214,9.75,2.54,1.93,1,2,2,1,1,2,6,4,1,2,1,1,1,1,20,0
215,14.51,4.52,4.87,2,1,2,2,2,1,17,4,2,1,3,1,2,2,11,0
216,9.96,1.79,2.38,1,2,1,2,2,1,13,9,1,2,1,2,1,1,6,0
217,13.19,3.79,3.7,1,2,1,2,2,2,15,25,2,1,2,1,2,1,16,0
218,16.34,4.17,16.15,1,1,2,2,2,2,21,23,2,1,2,2,1,1,6,0
219,7.04,1.79,2.32,2,1,2,1,1,1,8,9,1,2,3,1,2,1,16,0
220,9.37,3.96,5.05,1,2,1,2,2,2,1,6,1,2,3,1,2,2,1,0
221,2.72,0.52,1.43,1,2,1,1,2,1,11,6,1,2,2,1,1,1,10,0
222,13.57,2.9,2.95,1,2,2,2,1,2,0,27,2,2,2,1,2,2,19,0
223,14.85,4.8,11.15,1,2,2,2,2,2,18,26,1,1,3,1,1,1,6,0
224,21.39,6.11,12.05,1,1,2,1,2,2,6,7,1,2,3,2,1,1,1,0
225,22.3,4.26,8.46,1,1,2,2,1,2,10,5,1,1,2,2,1,1,1,1
226,10.43,2.18,2.75,2,2,2,2,1,2,6,2,1,2,1,2,2,2,16,0
227,20.43,4.65,6.23,2,2,2,1,2,2,11,9,2,1,2,1,1,1,2,0
228,4.28,3.65,0.6,1,2,1,2,1,1,6,6,1,1,3,2,2,1,12,0
229,6.5,0.29,1.11,2,2,2,2,2,2,1,4,2,2,1,2,1,1,13,0
230,16.39,2.74,2.67,1,1,1,1,2,2,8,4,2,2,3,2,2,2,8,0
231,16.78,1.82,7.74,2,2,2,1,2,1,10,11,1,1,3,1,1,1,13,0
232,11.11,1.12,3.94,2,2,2,1,2,1,3,12,1,1,1,2,2,2,3,1
233,4.74,0.78,1.57,1,2,1,2,2,2,9,17,1,2,1,2,1,1,6,0
234,7.48,1.24,2.54,1,1,1,1,2,1,6,2,2,2,1,2,1,1,7,0
235,2.67,2.68,0.37,1,2,2,1,2,2,11,10,2,2,1,1,1,1,4,0
236,9.83,1.61,0.94,1,2,2,2,2,2,8,1,1,1,1,2,1,1,4,0
237,11.6,1.82,3.05,2,1,1,2,2,1,5,4,2,1,2,2,1,1,7,0
238,13.98,2.44,1.81,2,2,1,2,2,2,2,11,1,1,2,1,2,2,2,1
239,7.18,1.41,3.67,2,1,2,2,1,1,12,5,1,1,1,2,2,2,18,0
240,21.19,4.78,6.21,1,2,1,1,2,2,7,20,1,2,2,2,2,2,14,0
241,19.27,3.45,3.5,1,1,1,1,1,1,5,5,1,1,2,2,2,2,17,0
242,14.48,2.1,2.51,1,1,1,2,2,1,10,12,2,2,2,1,2,2,15,0
243,6.31,2.29,1.95,1,1,1,1,1,2,7,11,1,2,3,1,2,2,16,0
244,18.86,11.97,9.29,1,2,1,1,2,2,22,20,2,2,1,1,2,2,13,0
245,15.48,3.35,5.05,2,2,2,1,1,1,3,5,2,2,1,2,1,1,19,0
246,25.22,3.96,6.43,2,1,1,2,1,1,13,5,2,2,2,2,1,1,11,0
247,3.71,0.45,2.49,1,2,1,1,2,2,16,17,2,1,2,2,2,2,18,0
248,19,1.68,2.85,2,2,1,2,2,2,5,4,1,2,2,1,1,1,14,0
249,22.7,1.47,6.6,2,1,1,1,2,2,15,11,1,1,1,1,1,1,19,0
250,15.03,5.7,9.87,1,1,2,2,2,2,10,16,1,2,1,2,2,1,15,0
251,13.85,5.63,14.46,2,2,1,2,1,2,23,17,2,2,3,1,1,1,13,0
252,25.99,3.71,9.27,2,2,1,1,2,2,14,3,1,1,3,1,2,1,9,0
253,6.7,1.46,2.45,2,1,2,1,2,1,14,3,2,2,2,2,2,2,6,0
254,11.95,1.37,3.24,1,2,1,2,2,2,1,1,1,1,3,2,2,1,18,0
255,10.06,1.98,3.39,1,2,2,2,2,2,6,14,2,2,2,1,2,2,13,0
256,11.54,4.25,7.05,2,1,1,2,2,2,19,1,1,2,1,1,1,1,8,0
257,7.42,2.68,2.02,1,2,1,1,1,2,18,19,2,1,2,1,1,1,4,0
258,13.46,4.08,4.69,2,1,2,1,2,1,2,15,1,2,3,1,1,1,18,0
259,7.2,4.28,1.33,1,2,2,1,2,1,16,25,2,2,1,2,2,2,7,0
260,13.64,0.97,3.43,1,1,1,2,2,1,11,2,1,1,1,1,2,1,8,0
261,26.32,2.43,6.44,2,2,2,2,1,2,15,2,1,1,1,2,1,1,12,0
262,10.01,2.2,3.84,1,2,1,1,1,1,8,7,1,1,3,2,2,1,7,0
263,13.64,2.62,2.41,2,1,2,2,2,2,9,7,2,2,2,1,2,2,3,0
264,22.64,2.6,4.81,2,1,2,2,2,2,9,12,1,2,1,1,1,1,15,0
265,6.82,3.01,3.22,1,1,1,1,1,1,10,7,2,2,1,1,1,1,2,0
266,9.51,2.4,2.21,2,2,1,1,1,1,7,1,1,2,2,1,1,1,4,0
267,8.5,1.38,2.12,1,2,1,2,1,2,0,2,1,1,3,1,2,2,2,0
268,18.75,3.69,5.93,1,2,1,1,1,2,10,8,1,2,3,1,1,1,18,0
269,19.73,3.83,2.72,2,1,2,1,1,2,2,10,2,1,1,1,2,2,1,0
270,8.08,2.45,2,2,2,1,2,1,2,20,16,1,2,3,1,1,1,11,0
271,11.11,6.26,6.31,2,1,1,2,1,2,22,24,2,2,1,2,2,1,11,0
272,5.19,1.66,1.47,1,2,1,2,2,2,5,1,1,2,1,2,1,1,1,0
273,13.04,2.61,2.47,1,2,1,2,1,2,7,4,1,2,2,1,1,1,15,0
274,21.86,0.73,9.26,2,1,2,2,2,2,17,11,2,2,1,1,2,1,4,0
275,11.13,2.66,2.07,1,1,1,2,1,2,7,8,1,2,1,1,1,1,6,0
276,13.67,1.19,3.6,1,2,1,2,1,1,2,0,2,1,2,2,1,2,18,0
277,15.21,3.34,3.18,2,1,2,2,1,2,2,6,2,1,2,2,2,2,9,0
278,4.15,2.42,2.35,1,1,2,1,2,2,15,0,1,2,3,1,1,1,15,0
279,7.31,0.59,0.99,1,2,2,2,2,1,0,11,2,1,2,2,1,1,13,0
280,11.98,2.76,3.02,1,2,2,2,1,2,14,2,2,2,3,1,1,1,16,0
281,7.08,1.87,1.71,1,1,1,2,2,1,11,6,1,2,2,2,2,1,15,1
282,27.48,6.76,6.14,1,1,1,2,1,1,16,2,2,2,1,2,1,1,8,0
283,14.88,1.68,6.08,2,2,2,1,1,2,8,3,1,2,1,2,2,2,14,0
284,11.32,1.49,2.93,1,2,1,1,2,2,2,7,1,1,1,2,1,1,13,0
285,16.51,1.18,3.69,1,1,2,2,1,2,10,0,1,2,1,1,2,1,19,0
286,12.38,3.34,3.56,2,2,1,2,2,1,9,17,2,2,2,2,1,1,3,0
287,10.46,2.38,2.79,1,2,1,2,2,1,12,8,2,2,2,1,2,2,8,0
288,26.47,2.56,4.36,1,2,2,2,1,2,2,16,1,1,2,1,1,1,20,0
289,3.6,2.02,2.4,1,1,1,2,2,2,16,15,2,1,3,2,1,1,17,0
290,8.39,2.54,3.31,2,2,2,1,1,1,11,6,2,1,3,1,1,1,19,0
291,5.93,2.96,1.61,1,1,1,1,2,1,3,4,1,2,3,2,1,1,12,0
292,6.35,2.18,3.24,2,1,1,2,2,1,9,8,1,2,3,1,1,1,9,0
293,7.5,2.9,4.38,2,2,1,2,1,1,20,26,2,2,1,2,2,1,8,0
294,3.43,1.17,1.8,2,2,1,2,2,1,4,2,1,1,2,2,1,1,16,0
295,13.22,3.67,2,1,2,2,1,1,1,11,13,1,2,2,1,1,1,18,1
296,7.84,2.1,2.55,2,2,1,1,2,1,10,14,1,2,1,1,1,1,2,0
297,10.6,3.24,2.25,2,2,1,2,1,2,3,1,1,2,2,2,2,2,18,0
298,19.59,5.04,1.98,1,2,2,1,1,1,1,10,2,2,2,1,2,2,8,0
299,5.04,3.43,2.75,1,2,1,1,1,1,4,5,2,1,3,2,2,2,13,1
300,5.69,1.01,0.58,1,1,2,1,2,2,21,3,2,1,2,1,2,1,4,0
301,29.93,22.49,13.37,2,2,1,2,2,1,29,19,1,1,2,1,2,2,20,1
