Cust_ID,Age,BillAmt_Product,BillAmt_Service,BillAmt_Pre,Vintage
52966,45,57503,12049,38395,2
36565,26,15426,2975,14065,1
87882,59,95582,31414,48918,7
43638,45,47420,13666,34915,3
17943,25,10868,2646,11217,1
26546,28,13645,3048,11557,1
71739,57,95555,48687,68360,5
53990,45,51820,16260,31367,5
47451,41,48209,14414,38101,2
30783,28,8102,3836,14638,1
80707,55,99491,31568,49229,5
74879,63,87303,42801,61482,5
74916,52,79685,36683,58265,8
23273,26,15066,3999,12047,1
53214,38,32881,15471,30970,2
77798,45,80959,49255,51859,5
28019,26,13579,3991,10688,1
82227,54,87266,44626,59102,6
26709,28,7462,3486,10197,1
73504,57,87885,43867,54288,7
76971,51,71571,39119,50760,5
55383,43,39839,14352,31073,5
54487,39,56727,18173,32739,4
20777,29,15388,4555,10821,1
36667,28,9769,2622,12430,1
58815,37,29178,18041,38352,5
70693,47,86947,42339,63972,6
79232,54,74604,35841,42034,8
23693,27,12319,2594,13354,1
67525,55,68740,34842,57181,8
76685,51,93171,37869,63013,7
22811,29,18314,3203,14426,1
51517,32,45091,18241,28540,3
40059,35,30497,18039,32175,5
27009,26,16822,4056,11966,1
14901,26,15063,4920,13975,1
65463,35,58343,12180,33661,2
54453,34,39828,18347,32768,5
92042,28,15263,35,66535,1
45175,32,44008,16962,23341,4
39007,25,16238,3531,13817,1
91251,62,76310,33597,60285,6
50039,43,41152,13354,24445,2
52063,41,29036,16577,25341,2
22323,25,11432,4742,14075,1
13679,29,15704,3272,12532,1
12050,26,12156,3946,11004,1
90159,65,70244,43230,60136,8
33885,29,16907,3902,11203,1
33042,28,7393,4074,15049,1
15896,27,19293,3970,14736,1
24380,27,10180,4895,10163,1
86935,56,97539,43428,42446,8
54442,30,50426,15179,22683,4
39045,30,26726,16153,22261,5
48050,38,50403,17345,30873,2
30088,28,16015,3080,10290,1
71373,63,83482,38469,48129,7
18858,25,10268,3526,11096,1
51481,38,25397,12153,38689,2
64645,30,51693,13196,24022,4
86945,45,65830,38910,69389,8
23445,26,17826,3367,11537,1
91007,45,94736,31913,41201,7
38094,26,12695,3777,10460,1
75471,57,65727,41317,50899,5
21007,29,17860,2934,14019,1
20690,27,7099,4347,10875,1
19955,28,11712,4992,11567,1
31151,25,8537,2697,11942,1
63635,32,45658,18479,29601,5
38570,25,7098,3242,10180,1
76499,52,80225,39195,64841,5
48563,33,39147,18222,23932,5
20581,25,7269,2984,12286,1
12762,25,19844,3246,14633,1
66537,55,71626,31414,63042,7
56048,37,48159,12197,31002,4
83165,48,95735,47761,50128,7
66510,61,66171,47098,48126,6
13289,28,12476,4793,14254,1
29383,29,17439,3631,12920,1
51170,31,33235,14347,37441,2
53739,38,36154,14915,23700,5
52717,40,53380,17893,21160,2
75645,64,85276,45090,68773,6
62142,32,32298,15107,25775,2
54826,41,38906,19560,33406,3
82576,56,80442,33989,54462,8
76059,62,82274,47855,54139,8
16208,29,5481,4426,12273,1
66041,59,98508,33548,58675,7
35538,25,19972,2789,12971,1
13572,29,8193,2605,11709,1
26304,25,11625,4487,13831,1
12441,25,14820,3645,13943,1
38286,29,19028,3715,14535,1
68278,57,78544,37063,66747,6
74032,55,93524,34379,67534,8
74618,47,95187,35839,51848,6
60811,44,38767,15664,22291,5
25587,29,5958,3856,10170,1
67763,47,83912,33349,56810,6
21651,27,15762,3983,11143,1
45001,45,29656,14190,22110,3
53997,36,52120,17862,21670,5
30491,28,19775,4973,13449,1
58737,43,38391,12735,22992,3
56841,34,60033,19669,28052,3
46357,30,58096,18528,30442,5
29085,26,8928,3477,13677,1
47784,38,43531,14325,36224,5
18036,28,8881,2620,13256,1
89113,65,99763,39670,59174,5
92011,52,95416,30507,54273,7
84793,51,87830,46976,57380,5
50200,36,48119,18066,21541,5
87050,62,70062,47861,68267,7
12859,27,18418,4404,10449,1
89593,55,71545,49239,65193,7
69712,54,95127,49417,62999,5
53920,37,37097,12062,22296,4
71300,47,65494,41961,52073,5
21842,29,10365,3792,14073,1
37282,29,14330,4929,15061,1
81973,50,66886,33005,41245,6
53801,30,54516,17278,34298,5
36087,29,11863,3781,11951,1
46073,38,41863,14354,20042,4
55806,43,41212,18207,27088,2
15691,29,19707,4781,11328,1
69684,45,67328,39169,65195,6
83384,55,94942,36000,43912,7
25827,25,10665,2620,14412,1
29301,27,18403,2992,12152,1
29551,29,15176,4081,13867,1
57548,37,33725,14518,24264,5
50343,43,49839,12093,38717,4
85912,59,85148,41200,50076,5
77725,60,76784,32013,67958,7
82110,49,71457,35280,60313,6
79132,54,99178,38231,57027,7
43785,37,29394,15854,35008,5
40784,35,53709,18234,22865,4
29097,25,19965,3459,11618,1
16397,26,6956,3969,13038,1
71242,47,72740,35091,47454,8
80557,64,99976,47995,56266,5
33091,27,16946,3357,13725,1
43056,31,55734,17177,28843,5
50618,30,58603,14263,34724,3
73610,63,80050,47214,46252,7
59305,34,52875,12203,26404,3
34792,26,11652,4078,11229,1
16840,27,19838,4291,11268,1
80893,45,67965,46014,66680,6
79566,59,91587,42686,45291,8
67726,64,76294,40823,55081,5
36276,27,11275,2669,14343,1
45571,39,48437,14430,21859,5
92037,27,6732,16,55088,1
19516,27,11584,4776,14518,1
23919,27,7362,4790,14840,1
24022,28,18085,4153,13168,1
84217,64,85539,49941,66169,6
29876,27,15010,3335,13479,1
56840,35,36656,18341,23024,2
69043,64,73108,41317,69442,6
15178,28,16295,3758,10170,1
29576,28,16439,4594,12651,1
45058,39,47628,15958,21828,3
80987,64,88111,43426,67164,5
19490,27,6814,3502,11464,1
67745,57,69566,34872,48728,7
18110,28,16882,3954,10943,1
27779,27,10892,3688,12044,1
57528,33,56448,14630,23140,5
59809,45,30081,18330,30641,5
16610,27,15025,4293,14413,1
37162,26,9333,4305,11392,1
25317,27,14954,4511,14043,1
53456,43,51862,16731,26561,2
72903,63,97496,33083,62080,8
91133,64,90737,36590,49380,8
27895,25,9072,4395,12031,1
43883,30,57584,13724,32522,2
52238,43,59278,15884,37041,5
27781,27,12049,2574,14954,1
26855,29,13517,4491,14209,1
88538,65,83109,34304,62102,7
33918,27,8593,3788,10118,1
36139,29,11401,2598,10891,1
77236,51,99721,33788,68770,8
36082,25,18323,2830,11076,1
35305,26,15787,5035,11706,1
21105,27,18194,4407,11882,1
27350,27,15188,4443,12348,1
84480,53,96034,35551,43437,6
77550,58,96456,47393,46414,5
45328,43,26311,17130,29249,4
50016,34,43820,16651,27084,4
78153,62,85117,43427,40818,7
50775,39,48395,13178,25170,2
20863,27,17068,2753,14945,1
43760,31,38482,13852,23582,3
49698,34,47853,12576,37324,2
48865,35,51764,18207,22394,3
90631,60,99343,45211,56978,5
57795,42,48473,16033,38740,5
47545,41,56064,18096,33083,5
71465,47,83494,40973,42908,7
33381,27,6684,3535,13085,1
56466,41,26536,13364,21857,5
64042,31,49255,12041,34325,2
32962,26,8617,4129,14144,1
34652,29,16005,3659,10904,1
40101,36,57933,18718,36678,3
13674,28,16793,2751,11342,1
43229,41,28038,15468,37451,3
51210,34,57894,15251,22436,4
12710,27,18641,5000,13303,1
14627,27,14568,3946,14954,1
89753,50,91727,36044,59948,7
38404,26,6428,2899,13161,1
40183,44,56948,19068,22934,3
45056,43,47744,14572,29862,4
66252,64,96621,45404,64978,7
39179,44,43554,17092,37505,3
78027,62,96423,40989,47408,6
30897,28,14575,3618,14618,1
49647,36,38283,15914,33820,3
38455,27,8677,3761,11095,1
30311,26,11927,3126,11593,1
66338,57,75421,31136,46501,6
14403,27,12691,4924,14509,1
22173,28,14059,4343,10329,1
16185,25,13460,3221,13570,1
72274,50,68479,41375,65803,8
80093,64,72455,32479,61730,8
65093,43,57959,17426,20805,5
73806,47,75446,43831,41758,5
43196,40,30590,19487,28514,2
54765,33,57791,13178,23433,5
26449,28,13221,2596,14197,1
19568,29,8860,3483,14387,1
15426,25,13883,5008,10155,1
66867,48,90727,41619,58180,6
68453,62,82579,45102,49800,5
79880,59,96452,41996,46318,8
71377,50,67006,49446,69740,6
16526,26,10631,3294,11279,1
32669,29,7484,4990,10355,1
89482,50,93040,33713,68493,5
29470,28,16152,3751,13244,1
87476,57,74795,37280,48195,6
32974,27,14353,2737,14443,1
24032,25,11961,3552,13016,1
66609,62,93459,34812,67763,8
24880,26,9305,2510,11444,1
25286,29,11894,2602,13495,1
68238,53,96040,41374,41212,7
29940,29,8161,3007,11667,1
56912,45,29500,16895,35004,2
83656,61,87079,32242,56776,6
74026,65,91973,31122,42076,8
22246,25,12201,3666,12230,1
47536,35,54486,12305,35902,3
56115,32,28261,14157,20066,3
56371,39,48976,14896,26824,4
70453,51,65987,46444,62682,6
46018,45,35714,13414,28465,3
47220,37,44524,19445,38932,5
19807,26,5556,4960,13030,1
76961,55,65404,40491,68018,5
74184,65,90946,44255,42796,8
50808,30,33148,15583,20180,2
23494,27,9201,3423,12557,1
68119,49,73033,36688,57245,7
65406,32,58988,17178,39190,2
29959,25,5799,3601,13929,1
70835,59,99861,39153,69380,5
26938,29,15083,2752,12536,1
30919,26,8715,4514,11147,1
14957,25,10579,3028,13197,1
60839,33,27559,16247,38330,4
27018,29,12066,2671,10268,1
48094,44,27885,18528,21439,5
64874,40,51009,19528,35540,4
36326,27,12299,4072,14089,1
88869,59,86373,36175,47533,5
24133,26,13228,3487,12364,1
23746,28,19993,4788,10821,1
32525,25,8567,4896,14788,1
78108,60,69846,36020,67449,6
60927,39,37210,12326,22340,5
72064,47,88508,44939,69019,6
44027,35,35917,15773,29390,4
71311,64,84087,49004,51756,6
31571,27,13822,3594,14907,1
18813,26,8512,3662,12852,1
14712,29,17468,3087,14862,1
28736,26,19349,4488,14582,1
84796,51,87841,33206,58937,7
88964,63,85594,40976,42286,5
54482,38,53856,18972,22530,2
13129,27,16152,3603,10282,1
60048,33,58914,16811,36421,5
45129,45,34686,12105,36252,4
80219,58,83413,45573,52831,5
18988,25,16474,4705,14114,1
24235,27,19010,4757,13807,1
77653,51,66188,42651,55694,8
58975,34,39594,15615,28617,2
25249,28,16130,2581,12757,1
76027,49,85293,36649,41350,6
82964,49,75793,40794,66296,7
85351,45,87387,49978,43391,8
82667,45,91305,30609,66764,7
63100,40,30096,19093,37869,4
23258,26,8305,2855,12069,1
46048,33,54828,17135,31597,5
17578,26,18561,4847,12734,1
87370,45,97057,32627,65236,8
28757,26,5874,4439,12098,1
86924,54,84291,49025,40647,5
24138,26,13716,3810,13603,1
33796,28,5075,3414,11149,1
55642,44,32829,14344,24049,2
20237,29,9817,3157,10972,1
48249,40,53139,19158,26657,2
13621,27,14067,4470,14585,1
35743,29,19640,2709,13447,1
22476,25,8324,3404,13784,1
89542,45,96128,44590,69512,8
52177,41,59262,14773,29503,4
33780,25,13761,4331,13065,1
40681,44,38981,19597,36427,3
91730,52,75777,40445,42340,7
31069,29,9320,3452,12840,1
23877,26,8260,3502,11323,1
48600,30,31073,12210,32191,3
88939,56,93042,47819,51448,5
72547,46,77663,42728,48198,8
31202,28,11254,3541,14674,1
69122,57,95793,40217,44448,7
89604,61,99703,38235,65358,8
81106,59,66280,47814,68872,8
84953,51,82279,43964,55705,5
44024,31,42104,17035,22552,2
47901,32,47136,19778,29005,5
24139,29,13602,3713,12597,1
71042,52,95460,36454,49307,7
44344,42,37401,17582,25603,3
46104,30,36554,16521,27331,5
14626,27,19171,4119,10358,1
84403,62,83658,41222,41772,6
80035,57,79897,38945,63684,7
21072,25,16215,3134,11149,1
62225,30,55062,12975,30456,3
54028,32,46924,15624,20282,3
50633,38,46162,18693,34577,5
27768,28,17325,3362,10122,1
42583,41,54165,19821,21671,5
51352,39,59446,17232,24214,3
69280,57,99971,34957,68455,5
92039,25,13237,11,43004,1
60995,35,44378,17018,23858,3
17095,25,12709,4061,14763,1
55766,39,48299,15380,36426,5
27001,27,15319,3551,10227,1
38896,28,14352,3684,12490,1
75768,47,74058,34836,69059,5
80146,45,99457,37360,41013,8
77468,51,93547,33276,63343,5
78226,55,78895,43378,65765,7
89138,59,83385,32205,66585,5
13107,25,17335,3198,13182,1
50831,39,43725,13744,25440,2
83100,63,74934,30469,53631,6
64154,40,30545,19817,28057,4
78672,65,81526,33432,57462,5
44149,32,50646,14207,39999,2
54818,41,30951,17302,21591,4
56561,39,35607,18913,28394,3
89716,45,72413,49875,47700,7
47640,36,26360,13537,38725,2
72853,61,82872,45396,69604,8
31949,25,12134,3903,11683,1
85352,57,78507,35769,65153,6
74445,62,88166,49159,62611,8
27931,29,16568,2895,10995,1
91111,49,65119,43130,57970,6
26457,25,10839,3122,14916,1
71193,58,85019,31408,68131,7
64286,43,48840,14322,34363,4
63067,43,44406,13871,32386,5
32193,27,16962,5014,14633,1
77491,46,89595,49035,54622,8
18585,29,6913,2523,10105,1
65218,36,48392,15285,37868,4
34371,28,17196,4753,10426,1
63832,31,30837,14336,30970,2
69242,48,73338,48550,53894,5
70221,63,68539,44550,56621,5
28826,28,5341,5020,12177,1
71795,56,81954,32329,60534,8
50772,30,41097,17814,23093,4
29135,29,10397,2960,12823,1
21468,28,14072,4334,13780,1
35504,26,6779,2614,10084,1
78421,58,88325,40021,62621,8
37814,25,6845,4317,10725,1
31314,29,7682,4216,12609,1
44315,33,27321,15575,31119,2
83538,49,83388,40309,45126,5
35101,27,13438,4038,13916,1
49615,40,30584,19092,26141,4
13125,26,17634,3479,12434,1
33814,28,8561,4049,12608,1
76824,58,69737,45190,43681,6
91624,61,87583,31713,53935,6
62377,35,57036,13275,38760,3
32094,26,5398,3172,12366,1
83121,62,69687,44637,66712,5
26812,26,16221,3005,15047,1
39936,40,59557,18622,29086,4
79185,53,70843,40280,51606,5
83961,60,77230,40636,68534,7
50865,30,54944,17505,35685,3
50550,41,56521,15430,39432,5
87470,63,90548,39836,55649,7
60171,42,44297,13134,33026,5
59892,38,48074,12582,36771,2
88261,47,84754,31922,51803,8
54650,45,49852,14377,30691,5
73735,57,99852,39341,55178,6
83726,52,89291,35705,51277,5
81838,65,81894,48774,67866,8
48770,30,51967,15665,26463,4
74613,56,82733,37926,47786,8
36090,27,15852,3279,12093,1
51186,34,31469,15160,31181,3
61562,40,53961,14382,35738,4
65858,30,46571,18846,36880,4
36644,28,15787,2916,12192,1
62040,30,43368,12162,36324,2
53145,45,41918,19205,35382,2
51273,33,57474,13875,21618,4
56434,38,26417,14085,36525,5
68257,55,79493,33481,61007,8
37605,28,7278,3962,13110,1
74274,47,94410,40644,46507,5
46873,37,30463,14506,22600,4
17879,27,11853,3581,14043,1
32291,29,15236,2636,10898,1
33761,26,7235,4031,14608,1
28819,25,13185,3069,12015,1
33344,27,9995,4327,10872,1
20082,26,18557,4000,10356,1
14866,26,12502,2672,11305,1
62882,32,57001,13407,26389,2
32634,28,19076,4610,10288,1
85324,64,67719,31806,60930,8
23695,27,17567,2651,10661,1
68691,49,97323,49429,54959,8
42674,43,54008,18201,30506,4
68492,52,69570,46373,47456,6
19186,27,19341,2919,14044,1
81696,61,96066,38786,53895,5
77133,48,99326,44694,57053,6
37837,28,9654,4584,13166,1
74092,47,83639,35887,52955,8
83735,46,90764,31590,40087,7
82465,56,76333,49854,56062,6
88509,61,83941,34357,56787,5
84787,61,94017,31680,47689,8
65630,35,43890,18771,27149,2
27377,29,8159,4644,13851,1
70340,64,68144,33035,43246,6
80675,61,87209,46630,58102,8
89454,62,90084,30328,64530,8
66319,61,80325,30332,46202,5
47771,31,31178,15620,31730,2
57077,38,58769,19674,31788,5
68613,50,83982,30627,65574,5
89074,52,75010,30811,68881,8
88516,60,76247,32349,60859,8
36213,25,13983,2763,14904,1
27722,28,17608,3144,10927,1
39678,44,51506,12304,39589,2
33008,25,6494,3422,11389,1
91574,46,88778,49933,56857,5
55596,41,54882,17088,39327,4
33588,28,14739,4051,11093,1
62154,42,40225,13743,26545,3
79392,59,97657,46805,62288,8
71181,58,83765,32731,42257,6
70631,58,94838,47526,45570,7
52794,36,49566,17714,21253,3
89362,54,88487,48521,45698,7
81918,50,97976,46886,48817,6
74943,60,74871,37877,61969,8
27359,29,7606,3483,13908,1
21338,26,15186,3069,10326,1
27244,25,16675,2949,11544,1
40368,33,47811,18083,25722,4
84707,60,66241,48120,50161,6
76162,58,68728,37402,69268,6
81980,64,85923,35191,45531,6
15813,26,18248,2807,12641,1
37056,29,14488,3728,12306,1
26591,27,18500,3894,12906,1
86219,55,93944,38901,49523,6
77239,62,68099,47818,54923,8
88897,52,77178,30929,70006,6
60488,40,26882,14574,29986,3
80471,57,99165,37513,41083,7
72374,50,68310,36514,43445,8
17615,29,8859,2995,14443,1
75230,57,76649,48325,56163,5
15853,26,12973,3082,12089,1
27426,29,5807,2693,12889,1
81794,45,94157,42684,54123,8
72849,60,84846,39169,62985,6
58555,38,46997,12343,35795,4
30204,29,15389,3214,12298,1
58634,41,26869,15277,29145,5
25653,25,15457,4551,14623,1
70489,46,93956,40323,49801,8
27398,29,18583,3926,14823,1
20912,27,8843,4327,14785,1
62808,34,48679,16502,34436,4
25684,29,11906,4054,11950,1
88500,50,90035,42269,57781,5
22077,27,19014,4694,11398,1
19129,28,12974,4098,13828,1
82809,46,65579,36657,65487,6
78124,60,98637,43103,69167,8
22996,28,10126,3708,11935,1
18124,26,7307,4391,12602,1
14847,25,13685,4731,11892,1
13843,29,19031,3047,14809,1
58069,31,55169,19216,32419,3
86152,63,87347,34464,66690,7
78668,57,79855,35583,47709,7
83695,57,96920,35754,60236,8
57507,37,41959,12130,34639,4
83420,55,73972,31876,54969,5
33249,29,7582,3219,13732,1
53988,31,39658,18423,31270,4
