customer_id,age,gender,annual_value_eur,recency_days,visit_frequency,distance_km,customer_vintage_months,campaign_response
CUST_100189,19,Female,2208,17,3,6.4,91,1
CUST_100190,59,Female,1682,140,1,6.3,86,0
CUST_100191,62,Female,2070,254,12,0.9,6,1
CUST_100192,74,Female,528,278,11,1.6,102,0
CUST_100193,70,Female,1026,151,3,7.8,105,0
CUST_100194,23,Male,1321,346,8,1.9,46,1
CUST_100195,45,Female,239,334,4,1.5,95,0
CUST_100196,45,Female,1791,140,3,3.0,61,1
CUST_100197,61,Female,1521,114,13,7.3,43,1
CUST_100198,61,Male,1016,68,11,3.9,56,1
CUST_100199,37,Female,1108,179,4,7.4,70,0
CUST_100200,47,Female,1827,125,11,2.8,114,1
CUST_100201,28,Female,802,313,4,2.0,20,0
CUST_100202,72,Male,1847,311,2,4.1,47,1
CUST_100203,45,Female,1074,338,4,5.0,54,1
CUST_100204,42,Female,1578,363,11,3.3,41,1
CUST_100205,56,Female,1243,358,12,2.9,75,1
CUST_100206,50,Male,2317,233,9,1.9,66,1
CUST_100207,18,Female,756,147,4,2.3,31,0
CUST_100208,74,Female,913,111,12,5.5,102,1
CUST_100209,44,Female,447,363,1,3.1,64,0
CUST_100210,74,Male,652,358,1,0.8,90,1
CUST_100211,69,Female,1557,238,1,1.3,91,1
CUST_100212,30,Female,2000,3,14,3.1,58,1
CUST_100213,58,Female,1613,211,5,7.4,55,1
CUST_100214,20,Male,1197,25,6,3.2,46,1
CUST_100215,56,Male,753,331,12,0.7,110,0
CUST_100216,23,Female,1649,184,6,3.5,95,1
CUST_100217,25,Male,726,61,6,5.4,24,1
CUST_100218,44,Male,526,123,9,4.8,77,1
CUST_100219,26,Male,1046,55,1,2.4,89,1
CUST_100220,54,Female,183,163,10,5.6,37,0
CUST_100221,50,Female,509,187,6,5.1,41,0
CUST_100222,68,Male,2143,39,13,1.5,25,1
CUST_100223,59,Male,417,185,8,1.5,29,0
CUST_100224,61,Male,606,83,8,4.5,31,0
CUST_100225,41,Female,1236,195,12,5.3,107,1
CUST_100226,32,Female,1262,34,3,7.7,103,1
CUST_100227,71,Male,1083,113,13,3.5,2,1
CUST_100228,49,Male,198,230,5,6.2,12,0
CUST_100229,49,Male,1624,283,10,1.1,5,1
CUST_100230,41,Male,978,287,4,7.1,61,0
CUST_100231,58,Female,1810,155,12,5.1,91,1
CUST_100232,69,Male,878,165,1,5.1,56,0
CUST_100233,66,Female,1691,182,9,1.3,98,1
CUST_100234,66,Male,1848,239,5,0.5,78,1
CUST_100235,69,Male,967,137,2,5.7,71,0
CUST_100236,29,Male,1640,339,12,1.1,37,1
CUST_100237,56,Male,536,266,2,1.2,36,0
CUST_100238,19,Male,1332,187,11,1.7,74,1
CUST_100239,20,Female,1811,40,7,1.0,29,1
CUST_100240,66,Male,1459,310,4,5.1,80,0
CUST_100241,54,Male,2403,167,1,3.5,38,1
CUST_100242,66,Male,1487,260,5,2.3,85,1
CUST_100243,73,Female,1017,143,2,3.6,102,1
CUST_100244,34,Female,2620,204,7,6.8,41,1
CUST_100245,66,Female,2017,176,9,7.4,33,1
CUST_100246,19,Female,399,262,13,4.0,93,1
CUST_100247,19,Male,808,252,1,4.6,112,0
CUST_100248,45,Male,681,329,12,2.2,81,1
CUST_100249,71,Male,1523,200,2,4.2,13,0
CUST_100250,40,Female,1486,199,11,6.0,6,0
CUST_100251,54,Male,1482,196,6,4.0,66,1
CUST_100252,49,Male,385,314,8,2.6,8,0
CUST_100253,50,Female,881,77,7,4.7,119,1
CUST_100254,18,Female,1125,19,9,7.6,118,1
CUST_100255,36,Female,289,62,14,7.1,64,1
CUST_100256,19,Male,764,327,2,6.2,96,0
CUST_100257,70,Male,1878,281,12,2.4,100,1
CUST_100258,61,Female,423,250,9,2.1,9,0
CUST_100259,43,Male,1928,227,4,6.7,23,0
CUST_100260,49,Female,1746,127,11,1.6,71,1
CUST_100261,23,Female,1055,58,3,4.9,95,0
CUST_100262,49,Male,876,204,7,3.6,21,1
CUST_100263,72,Female,1616,243,5,3.9,1,1
CUST_100264,21,Female,806,332,13,3.7,46,1
CUST_100265,72,Female,831,326,5,7.2,62,0
CUST_100266,28,Male,1188,252,12,0.9,2,1
CUST_100267,73,Female,135,322,13,6.3,104,0
CUST_100268,34,Female,475,199,2,6.7,75,0
CUST_100269,55,Female,1042,343,6,7.6,101,0
CUST_100270,41,Female,1438,240,6,3.7,82,1
CUST_100271,22,Female,799,139,12,4.1,44,0
CUST_100272,69,Female,1101,122,4,7.7,117,1
CUST_100273,51,Female,393,49,5,3.8,88,1
CUST_100274,23,Male,1666,304,7,4.1,116,1
CUST_100275,39,Male,1310,115,14,2.8,83,1
CUST_100276,28,Female,1354,343,8,0.4,5,1
CUST_100277,65,Male,1444,251,6,3.6,93,1
CUST_100278,33,Male,1239,7,5,5.3,39,1
CUST_100279,50,Female,958,219,12,5.6,66,1
CUST_100280,26,Male,1765,77,3,0.3,81,1
CUST_100281,23,Female,1278,179,7,6.4,45,1
CUST_100282,33,Female,1117,145,8,4.0,75,1
CUST_100283,46,Female,1196,154,3,4.3,101,1
CUST_100284,20,Female,1185,121,5,7.7,13,0
CUST_100285,37,Female,1112,124,11,2.4,93,1
CUST_100286,53,Male,1423,150,2,6.1,119,1
CUST_100287,36,Female,732,268,10,4.7,32,1
CUST_100288,43,Male,769,327,10,5.7,109,1
CUST_100289,20,Female,1480,1,12,3.5,104,1
CUST_100290,36,Female,1127,161,4,2.4,43,1
CUST_100291,37,Female,1686,244,12,4.5,8,1
CUST_100292,49,Male,1404,251,4,3.1,74,1
CUST_100293,24,Female,924,64,12,1.9,89,1
CUST_100294,69,Female,1488,299,13,6.7,59,1
CUST_100295,58,Female,1799,248,8,3.9,11,1
CUST_100296,50,Female,1423,297,3,6.8,28,0
CUST_100297,57,Male,1533,115,5,3.9,97,1
CUST_100298,56,Female,1114,295,11,4.5,39,1
CUST_100299,35,Male,1697,1,5,8.0,26,1
CUST_100300,57,Female,910,41,2,7.6,72,0
CUST_100301,18,Male,1369,173,9,2.3,102,1
CUST_100302,28,Male,2485,88,4,7.0,26,0
CUST_100303,45,Female,1469,98,9,3.2,32,0
CUST_100304,74,Female,990,88,9,0.8,46,1
CUST_100305,42,Male,988,251,2,4.7,28,0
CUST_100306,67,Female,1164,335,9,7.8,116,0
CUST_100307,40,Female,1626,141,9,7.8,7,0
CUST_100308,48,Female,1273,71,2,1.2,35,1
CUST_100309,47,Male,876,137,11,6.2,66,0
CUST_100310,59,Female,875,99,13,6.5,22,1
CUST_100311,52,Female,1276,151,6,3.1,114,1
CUST_100312,24,Female,1221,175,9,5.3,22,1
CUST_100313,33,Male,1427,167,4,4.0,3,0
CUST_100314,43,Female,1659,343,2,2.0,46,1
CUST_100315,65,Male,2564,257,7,6.1,50,0
CUST_100316,74,Female,469,224,9,2.2,109,1
CUST_100317,69,Male,1543,330,6,2.9,8,1
CUST_100318,66,Female,1249,65,11,1.7,4,1
CUST_100319,19,Female,278,69,11,5.8,15,0
CUST_100320,18,Male,1825,67,14,3.8,44,1
CUST_100321,65,Male,1411,50,4,3.7,110,1
CUST_100322,29,Male,1600,314,1,4.9,116,1
CUST_100323,22,Female,350,309,4,1.4,39,1
CUST_100324,54,Female,1090,91,3,7.2,76,1
CUST_100325,49,Female,660,115,7,3.8,29,1
CUST_100326,72,Female,2282,57,11,3.1,73,1
CUST_100327,26,Male,1772,342,13,1.2,106,1
CUST_100328,58,Female,860,18,11,1.5,104,1
CUST_100329,52,Female,432,272,10,7.4,62,0
CUST_100330,36,Female,1297,130,5,3.8,84,1
CUST_100331,65,Female,1746,269,12,5.8,34,1
CUST_100332,33,Female,332,80,3,0.8,26,1
CUST_100333,20,Female,734,299,14,5.2,112,1
CUST_100334,37,Female,647,310,2,7.4,85,0
CUST_100335,41,Male,1633,202,13,2.5,87,1
CUST_100336,71,Female,1015,225,2,4.7,18,0
CUST_100337,73,Female,1036,159,5,7.5,63,0
CUST_100338,50,Female,1287,204,13,5.8,52,1
CUST_100339,41,Female,761,137,13,0.7,54,1
CUST_100340,69,Male,478,73,8,3.2,88,1
CUST_100341,28,Male,1885,48,8,0.9,42,1
CUST_100342,66,Male,1931,18,14,6.9,93,1
CUST_100343,25,Male,1290,267,12,5.0,102,1
CUST_100344,53,Male,1326,340,5,7.7,102,0
CUST_100345,55,Male,1831,19,13,0.4,54,1
CUST_100346,57,Female,1278,100,2,3.5,52,1
CUST_100347,37,Male,990,116,13,1.0,13,1
CUST_100348,52,Male,1220,346,4,2.9,32,1
CUST_100349,65,Female,1897,74,7,1.5,83,1
CUST_100350,42,Male,1227,280,14,2.8,81,1
CUST_100351,52,Female,865,269,6,6.6,66,1
CUST_100352,42,Female,1274,125,10,1.5,82,1
CUST_100353,46,Male,1528,116,7,3.9,58,1
CUST_100354,35,Female,1468,174,5,7.4,39,1
CUST_100355,63,Male,1476,181,2,8.0,27,1
CUST_100356,35,Male,787,226,8,2.2,78,1
CUST_100357,19,Female,1585,157,14,7.5,54,1
CUST_100358,71,Female,1214,164,12,2.2,79,1
CUST_100359,52,Male,844,71,2,3.4,72,0
CUST_100360,33,Female,1581,222,12,7.0,73,1
CUST_100361,58,Female,973,126,8,6.3,85,1
CUST_100362,53,Male,413,145,7,6.9,43,0
CUST_100363,50,Male,700,176,3,6.4,99,0
CUST_100364,21,Female,1109,152,13,2.0,52,1
CUST_100365,50,Male,1489,182,4,4.6,14,0
CUST_100366,31,Male,768,347,13,3.2,91,0
CUST_100367,38,Male,1080,85,7,3.8,8,1
CUST_100368,65,Male,592,364,4,1.4,35,0
CUST_100369,37,Male,1691,121,9,2.7,18,1
CUST_100370,73,Male,2059,129,7,6.9,55,1
CUST_100371,25,Male,2005,6,1,7.2,78,1
CUST_100372,24,Female,1682,334,1,5.0,52,1
CUST_100373,20,Male,1631,183,4,4.1,72,1
CUST_100374,34,Female,164,38,14,5.8,49,1
CUST_100375,50,Female,1289,116,14,4.9,8,1
CUST_100376,65,Female,952,102,13,7.9,37,1
CUST_100377,29,Male,1640,8,9,1.7,108,1
CUST_100378,68,Male,100,218,13,3.7,66,0
CUST_100379,39,Female,1296,207,4,7.4,81,0
CUST_100380,72,Male,1093,78,13,7.3,77,1
CUST_100381,39,Female,1759,55,5,4.1,118,1
CUST_100382,63,Male,1974,304,1,1.3,78,0
CUST_100383,47,Male,736,228,14,6.6,41,0
CUST_100384,55,Female,758,88,2,4.8,105,1
CUST_100385,55,Female,1315,10,11,6.2,73,1
CUST_100386,62,Female,2067,308,4,3.8,27,0
CUST_100387,68,Male,1230,290,12,1.8,20,1
CUST_100388,71,Female,560,164,4,0.4,38,0
CUST_100389,25,Male,897,239,11,4.6,12,1
CUST_100390,44,Male,1301,317,10,1.5,42,1
CUST_100391,44,Male,1320,144,6,1.7,86,1
CUST_100392,51,Female,848,335,13,3.6,101,1
CUST_100393,38,Female,887,18,6,3.6,50,0
CUST_100394,47,Female,709,71,8,2.3,103,0
CUST_100395,50,Male,1771,175,12,1.2,31,1
CUST_100396,45,Male,783,342,13,7.6,77,1
CUST_100397,64,Female,968,288,9,1.2,65,1
CUST_100398,50,Male,953,299,14,2.9,102,1
CUST_100399,22,Male,397,339,1,2.6,53,0
CUST_100400,65,Female,768,248,1,7.0,117,0
CUST_100401,36,Female,1814,193,6,3.4,40,1
CUST_100402,21,Female,595,325,4,1.2,73,1
CUST_100403,52,Male,718,306,11,0.3,39,1
CUST_100404,66,Male,534,268,4,5.8,10,0
CUST_100405,34,Male,1155,204,1,5.8,29,1
CUST_100406,61,Male,2143,341,9,3.5,40,1
CUST_100407,45,Male,1134,123,12,1.2,30,1
CUST_100408,47,Female,1233,58,11,3.1,2,1
CUST_100409,46,Male,802,339,3,4.8,82,0
CUST_100410,63,Male,1169,201,5,5.7,28,0
CUST_100411,70,Male,1815,112,10,0.8,47,1
CUST_100412,23,Female,1271,128,1,4.5,32,1
CUST_100413,52,Female,2266,36,8,2.4,88,1
CUST_100414,58,Female,1830,234,3,5.0,102,0
CUST_100415,54,Male,1157,310,14,5.3,78,1
CUST_100416,41,Female,1147,47,1,7.3,89,0
CUST_100417,46,Female,2015,115,10,3.4,89,1
CUST_100418,66,Female,1269,255,6,4.4,32,0
CUST_100419,63,Male,1904,223,1,2.3,27,1
CUST_100420,70,Female,2201,124,3,2.4,54,1
CUST_100421,48,Male,1098,160,5,0.6,96,0
CUST_100422,52,Male,1376,96,4,2.4,56,1
CUST_100423,50,Female,1690,107,7,0.7,31,1
CUST_100424,69,Male,1584,120,6,7.7,114,1
CUST_100425,38,Female,1580,101,12,5.1,24,1
CUST_100426,49,Male,533,103,3,1.6,35,1
CUST_100427,40,Female,776,166,11,1.1,30,0
CUST_100428,50,Female,952,186,8,3.1,97,1
CUST_100429,20,Female,1807,32,8,2.6,55,1
CUST_100430,35,Male,582,66,14,2.4,64,1
CUST_100431,42,Female,1962,179,2,3.9,33,1
CUST_100432,59,Male,1590,267,7,7.3,46,0
CUST_100433,48,Female,1777,37,14,4.6,91,1
CUST_100434,71,Male,735,201,1,4.3,97,1
CUST_100435,20,Male,1236,358,2,6.5,33,0
CUST_100436,57,Female,1349,49,8,0.2,68,0
CUST_100437,63,Female,1327,275,12,1.7,64,1
CUST_100438,41,Female,1348,168,1,4.1,30,0
CUST_100439,67,Female,1062,263,2,5.7,108,0
CUST_100440,49,Female,1268,133,12,4.0,79,1
CUST_100441,64,Male,1717,298,1,1.5,29,1
CUST_100442,39,Female,617,344,5,7.5,62,0
CUST_100443,40,Female,1974,176,7,2.8,92,1
CUST_100444,19,Male,1691,11,6,6.3,96,1
CUST_100445,44,Female,717,201,6,7.2,100,0
CUST_100446,59,Female,1392,297,6,2.9,30,1
CUST_100447,19,Male,1651,3,8,6.8,106,1
CUST_100448,43,Female,582,214,5,5.7,107,1
CUST_100449,34,Female,1221,296,10,7.3,102,0
CUST_100450,57,Female,1161,307,7,2.2,106,1
CUST_100451,50,Male,877,32,3,7.5,12,0
CUST_100452,26,Female,1246,48,9,0.7,67,1
CUST_100453,60,Male,900,327,10,6.4,15,0
CUST_100454,71,Female,1887,252,3,3.6,112,0
CUST_100455,65,Male,887,199,14,1.6,10,1
CUST_100456,56,Female,1596,89,14,0.8,86,1
CUST_100457,46,Male,372,109,6,3.2,61,1
CUST_100458,59,Male,1119,291,3,3.2,23,1
CUST_100459,72,Male,1206,108,1,2.0,11,0
CUST_100460,43,Male,1103,40,1,1.9,16,1
CUST_100461,52,Male,1002,52,3,3.3,49,1
CUST_100462,67,Male,866,112,4,3.4,110,1
CUST_100463,42,Female,1577,295,14,3.7,80,1
CUST_100464,41,Female,1700,68,2,7.0,14,1
CUST_100465,30,Male,1159,189,9,5.0,6,1
CUST_100466,24,Male,652,332,11,0.4,42,1
CUST_100467,74,Male,2097,209,8,4.2,17,1
CUST_100468,53,Male,760,65,12,6.1,119,1
CUST_100469,62,Female,470,62,13,0.6,95,1
CUST_100470,37,Male,194,258,3,3.5,42,0
CUST_100471,18,Female,1250,134,7,3.7,117,1
CUST_100472,25,Female,1091,122,4,7.6,10,0
CUST_100473,63,Male,1715,331,5,3.9,46,1
CUST_100474,33,Male,1506,171,4,6.0,84,1
CUST_100475,31,Female,1345,210,9,2.6,49,1
CUST_100476,29,Female,1064,296,11,6.3,9,1
CUST_100477,68,Male,1755,89,7,2.7,79,1
CUST_100478,40,Male,2134,167,13,3.6,39,1
CUST_100479,32,Male,1704,28,4,3.9,2,0
CUST_100480,45,Female,968,238,13,7.4,68,0
CUST_100481,51,Female,1591,336,8,0.6,52,1
CUST_100482,19,Male,999,63,2,1.7,88,1
CUST_100483,49,Female,647,255,7,5.7,82,0
CUST_100484,40,Female,750,41,11,4.7,11,1
CUST_100485,39,Male,1021,29,1,2.2,37,1
CUST_100486,68,Male,1252,279,8,2.5,90,1
CUST_100487,42,Female,2230,80,13,3.1,72,1
CUST_100488,39,Female,759,51,14,3.7,22,1
CUST_100489,39,Male,1862,112,12,6.6,52,1
CUST_100490,66,Male,1041,361,14,0.3,5,0
CUST_100491,69,Male,192,301,13,7.2,2,0
CUST_100492,59,Male,947,90,6,3.4,5,0
CUST_100493,23,Male,1788,229,12,2.0,99,1
CUST_100494,32,Female,1372,150,5,4.2,32,0
CUST_100495,71,Female,1402,243,9,5.3,108,0
CUST_100496,60,Female,1864,138,9,0.5,19,1
CUST_100497,54,Female,682,135,3,5.8,103,1
CUST_100498,50,Male,674,89,9,6.1,115,1
CUST_100499,25,Male,100,15,13,1.5,4,1
CUST_100500,70,Male,1639,333,13,1.5,87,1
CUST_100501,61,Female,1481,362,9,1.8,46,0
CUST_100502,61,Female,1562,174,2,6.4,83,1
CUST_100503,22,Female,608,90,5,2.3,26,1
CUST_100504,56,Male,398,213,11,6.4,50,0
CUST_100505,21,Female,540,343,2,4.4,26,0
CUST_100506,23,Male,739,61,1,6.2,71,0
CUST_100507,62,Male,1977,364,7,4.5,32,0
CUST_100508,49,Male,1700,220,4,2.8,111,1
CUST_100509,69,Male,971,61,5,7.3,117,0
CUST_100510,47,Male,1350,307,4,5.8,97,0
CUST_100511,64,Male,861,166,6,4.0,44,0
CUST_100512,52,Female,1382,12,11,5.2,26,1
CUST_100513,72,Male,631,216,2,5.0,61,0
CUST_100514,57,Male,1575,77,8,3.0,88,1
CUST_100515,69,Female,775,232,4,3.5,51,1
CUST_100516,33,Male,1603,112,8,2.7,59,0
CUST_100517,30,Female,986,66,3,8.0,87,1
CUST_100518,67,Female,805,182,12,4.7,38,1
CUST_100519,59,Female,2006,204,12,0.9,26,1
CUST_100520,47,Male,1288,206,11,4.2,45,1
